,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100
SAMPLE_13,75,0,0,87,0,0,0,14,0,0,0,98,29,297,0,536,0,187,26,84,110,0,0,329,15,49,0,548,0,312,0,0,0,0,57,0,0,0,0,0,0,568,237,688,1,25,0,0,1582,196,0,0,0,0,66,748,922,0,0,0,0,0,12,0,0,574,0,0,0,2665,17,0,34,0,0,2377,0,0,0,101,1699,769,0,1056,0,51,0,213,0,0,25,0,0,0,0,0,0,321,49,0
SAMPLE_14,760,70,46,0,4293,214,2388,191,62,0,1588,0,0,0,0,5828,0,0,0,125,295,0,0,0,28,408,179,0,0,103,2202,0,0,2111,275,114,1852,927,0,0,183,0,0,2560,162,112,0,0,153,62,0,768,0,1283,1077,1666,0,0,0,0,0,470,677,0,588,440,1119,64,4340,0,419,0,563,0,0,316,0,0,0,1234,185,6739,96,10112,0,2282,0,222,0,0,310,721,0,0,0,897,0,214,244,719
SAMPLE_15,677,8,0,0,259,0,1917,218,221,0,639,1,0,0,0,3341,0,5875,0,438,1004,0,0,715,175,0,0,0,1922,33,0,0,3012,2141,1086,8,0,0,1075,0,91,6,0,758,0,76,97,0,1587,147,903,0,0,0,0,1088,0,0,0,0,0,8,92,0,0,112,0,0,228,0,198,827,0,0,0,0,0,818,0,649,0,4769,0,508,0,1552,0,596,0,0,53,7,0,1369,0,531,0,0,890,15
SAMPLE_16,0,186,4,0,22,363,0,69,0,533,0,0,0,321,0,3326,1057,1757,770,1392,0,0,0,0,13,0,0,0,0,116,0,0,2475,2555,122,3234,0,0,0,0,67,446,0,334,18,529,2203,0,0,0,738,61,0,0,1196,0,0,0,0,0,0,16,1397,0,0,0,1695,0,0,0,37,2103,15,0,0,1880,0,808,0,2092,1203,2827,0,3679,0,0,0,113,0,0,0,653,0,2817,0,1017,0,306,1475,88
SAMPLE_17,0,115,0,4969,0,0,0,202,0,0,105,0,0,205,0,3319,0,2492,0,384,397,0,0,0,178,830,0,530,0,391,1329,0,430,111,176,111,0,0,0,0,1058,0,0,0,0,284,96,0,6139,220,498,789,0,0,1098,1324,0,0,217,60,0,0,43,17,0,157,714,0,0,0,23,680,137,0,0,80,711,0,0,2775,0,4083,149,3346,0,24,0,1093,1681,0,567,563,0,558,0,0,0,300,1417,598
SAMPLE_18,0,1024,51,0,0,0,0,105,0,182,0,45,105,1944,0,0,1005,0,119,4782,0,0,0,0,7,1642,0,619,0,2722,0,0,585,496,627,976,0,293,0,1312,802,442,0,0,0,0,0,0,0,0,153,2001,0,0,0,310,0,0,4345,89,0,464,0,0,0,0,0,242,0,2114,0,484,2385,0,0,629,0,162,0,0,1154,3319,887,591,0,0,0,0,0,0,0,265,0,594,2260,0,0,3116,221,295
SAMPLE_19,0,705,22,0,209,0,0,1167,169,177,0,928,181,0,0,5610,0,0,4458,895,29,0,41,0,0,0,0,214,2027,2312,0,0,99,0,17,0,2299,197,498,141,279,874,1187,312,0,0,0,0,1264,0,1693,2858,0,4392,4312,0,0,0,0,0,0,15,0,0,0,14,1,0,0,3308,0,87,1391,0,0,609,0,0,0,0,0,6113,1333,7692,0,1464,0,1207,0,0,342,154,0,3335,0,1124,0,2523,1449,0
SAMPLE_20,124,4,266,66,0,0,476,190,0,949,0,0,0,0,0,2389,0,1069,50,1560,1485,0,0,0,0,0,0,11,0,0,0,104,0,288,1441,32,0,0,0,0,15,174,0,0,0,93,87,1015,8611,0,0,3887,0,0,2120,2323,0,0,0,0,0,39,0,0,0,960,0,279,525,754,0,1524,1365,0,2,3259,0,302,0,1072,3,1392,0,2606,0,166,0,2697,0,42,16,0,0,1551,0,0,0,0,834,0
SAMPLE_21,510,1702,0,0,0,1132,1504,0,179,0,1609,0,0,0,0,0,0,0,0,0,276,0,86,0,0,0,1518,1058,0,86,0,1,1038,2463,149,0,0,0,0,0,282,1941,681,0,0,1,0,0,5536,1600,293,2701,0,7790,1299,1839,1270,0,291,0,0,233,0,0,867,837,0,123,0,2,0,70,145,0,0,360,0,545,0,54,34,899,0,0,0,220,0,126,53,620,578,20,0,149,0,0,0,1087,1368,42
SAMPLE_22,0,0,73,0,3229,2416,0,525,1083,0,0,0,35,806,0,671,0,266,0,950,0,0,21,887,145,0,45,0,0,0,0,0,261,61,535,472,0,0,0,486,562,0,1609,503,0,421,688,0,0,0,89,0,2253,0,0,2715,0,0,1383,0,0,79,1230,0,118,574,0,7,2238,28,246,496,245,0,0,0,0,0,0,591,556,1029,564,0,0,0,0,294,0,0,379,0,0,614,0,42,0,1386,649,0
SAMPLE_23,87,0,0,0,2388,0,0,104,298,675,0,0,136,1544,0,2406,0,0,967,379,1699,0,0,0,0,2324,0,0,0,16,3411,0,171,0,111,58,0,0,33,0,0,1750,0,0,0,24,0,1227,3932,1425,49,1848,0,0,0,62,1257,0,0,0,0,0,31,0,0,921,0,302,1647,68,9,235,676,0,0,216,0,2125,0,48,0,3856,0,2687,0,138,0,68,0,0,0,2553,0,2978,0,579,0,2367,1001,0
SAMPLE_24,478,156,57,0,0,2991,1353,1099,0,0,0,0,119,1430,0,736,0,0,0,42,26,0,0,723,0,0,0,513,0,259,341,0,0,243,23,0,0,0,0,140,1199,1081,47,921,0,6,0,0,0,0,256,1124,0,504,2125,362,0,0,0,0,48,37,0,0,0,0,1598,0,482,0,0,0,176,0,0,2469,958,0,0,3,0,798,1014,262,0,229,0,8,0,0,24,274,0,44,0,0,0,2193,21,0
SAMPLE_25,676,1659,0,0,25,18,1852,1580,52,0,0,683,0,3469,0,5892,0,4749,1322,1043,517,0,0,0,6,2319,0,4407,0,0,0,0,99,1384,0,0,0,482,0,0,1770,0,0,0,0,203,0,0,4050,23,931,2832,686,1784,0,33,0,0,1672,124,0,13,1199,0,0,10,92,9,0,0,0,139,308,0,0,0,0,0,0,397,2148,3598,0,5288,0,0,1645,960,0,0,990,0,0,0,0,0,0,0,878,0
SAMPLE_26,0,1022,363,0,1987,0,0,562,783,0,1189,5,0,244,0,5388,0,0,0,738,1170,0,0,0,4,124,0,0,0,128,3172,0,349,2768,316,2011,0,0,0,372,0,0,1775,0,0,29,0,0,3439,0,2041,1766,0,0,783,1404,0,0,0,9,0,719,43,0,1474,758,0,156,3573,790,0,697,0,0,0,152,0,773,0,193,433,7430,0,6261,0,0,0,371,0,0,1267,839,0,568,2695,737,0,166,191,0
SAMPLE_27,1725,0,0,0,0,0,0,59,0,605,1022,0,0,0,0,1766,0,4234,0,632,765,0,0,2045,0,0,0,1784,0,0,0,0,0,0,0,2311,81,29,0,0,177,0,0,3890,6,2,0,1135,0,0,45,0,442,4638,1042,4770,0,0,0,0,379,0,18,0,0,13,0,0,0,3635,0,146,1586,0,0,2089,0,9,1818,35,0,2013,0,1731,0,1542,26,0,0,0,0,30,0,1833,0,0,0,0,1111,0
SAMPLE_28,0,531,283,239,608,0,0,5,0,0,1447,0,33,100,0,974,260,0,1052,35,0,2696,0,0,6,0,1664,0,0,1263,31,0,177,0,148,1531,0,0,0,359,0,0,0,775,0,2,0,1015,0,0,105,0,0,0,712,1460,0,1362,0,0,0,0,1368,0,0,159,0,0,333,249,0,448,781,0,1936,997,0,43,0,31,2916,0,78,2401,0,0,85,77,0,0,16,0,0,370,2399,0,0,78,180,167
SAMPLE_29,560,1681,10,0,831,146,1761,164,0,0,0,0,0,283,0,3757,0,1148,0,214,1157,0,0,0,3,0,0,1352,0,245,1717,159,29,0,502,0,0,0,393,0,49,69,0,0,0,6,0,0,3964,11,29,1921,1693,1653,1846,0,64,0,535,13,0,6,198,0,0,0,0,0,2319,0,0,71,422,0,1159,1566,0,971,1120,69,1218,2964,1221,3111,0,2261,3,0,0,0,27,22,0,629,0,0,0,336,969,0
SAMPLE_30,0,1385,0,0,73,0,0,61,6,0,2980,1525,671,0,0,608,0,243,1756,316,41,0,0,808,0,0,0,0,58,0,0,0,1834,0,1571,1024,19,425,161,191,131,694,0,1029,0,44,0,2813,138,0,0,1270,0,540,517,6505,0,0,0,0,0,0,0,0,0,532,0,253,71,0,2,1785,84,0,0,254,0,0,0,385,0,260,338,449,0,875,0,736,149,0,0,0,0,1956,0,0,0,1200,696,302
SAMPLE_31,0,657,142,0,0,0,0,1299,0,867,484,0,125,64,0,3410,1336,0,41,2139,450,0,6,0,0,48,0,0,0,200,0,0,1295,0,127,1066,1446,0,1421,0,2186,0,0,2665,0,526,0,0,0,0,1542,2309,2,0,3403,493,0,0,0,1,1861,0,16,0,0,0,0,182,4119,0,0,226,1217,0,0,3071,0,0,0,956,1247,4098,479,7336,0,0,124,2330,0,0,20,0,0,0,466,0,0,0,577,0
SAMPLE_32,0,296,167,0,0,0,0,431,0,0,0,0,48,0,0,2910,0,0,12,2360,91,0,0,0,3,0,0,201,0,1156,670,0,125,0,81,0,0,89,47,562,14,0,0,1528,0,0,0,0,0,1070,33,5588,1320,0,2519,588,0,0,1337,0,0,426,172,156,0,36,0,0,1647,0,0,259,476,0,861,268,0,215,0,0,982,1621,687,2753,0,0,771,0,35,77,0,0,0,173,0,152,7,2024,107,0
SAMPLE_33,0,294,0,0,140,0,0,1450,0,0,456,0,9,100,0,3282,0,0,0,1058,0,0,0,488,0,190,0,774,0,21,517,10,182,0,97,0,0,0,21,3,2937,239,52,596,8,82,0,783,0,326,106,0,0,0,0,2700,1581,0,0,19,0,5,0,0,0,0,158,17,307,56,0,359,1155,0,0,3032,0,548,0,861,0,2033,532,2821,0,887,0,2402,0,4,83,201,0,0,0,0,932,174,0,222
SAMPLE_34,185,1729,6,0,0,0,440,437,0,0,0,24,0,326,0,2740,320,3635,0,173,0,0,0,0,315,0,781,945,24,1618,0,1,269,0,21,0,1468,0,0,0,1200,16,0,1667,0,462,0,0,0,0,970,2465,0,1822,1087,0,0,0,2104,0,0,63,0,0,0,49,23,0,0,0,0,589,50,0,0,0,0,18,0,2075,2155,3839,252,2820,0,398,2594,47,0,0,26,0,0,3800,0,0,0,513,1841,17
SAMPLE_35,0,0,28,0,1911,0,0,685,0,0,0,0,0,1884,0,0,0,0,372,327,921,0,0,0,0,86,0,0,0,0,1015,0,0,904,96,1352,3030,0,0,0,0,1431,0,970,0,99,0,0,0,259,77,0,5485,0,1543,478,3,881,541,17,0,281,1997,0,119,721,985,140,0,0,0,55,516,0,0,0,183,475,0,946,1332,1765,1014,0,0,938,83,35,64,771,234,187,0,103,0,1129,0,2997,1033,8
SAMPLE_36,162,738,0,0,0,0,30,535,0,321,0,15,6,46,0,978,0,948,0,843,206,0,0,40,170,0,0,79,0,111,0,264,154,2588,828,67,0,0,0,0,0,0,0,0,0,0,0,0,0,5,233,0,0,162,106,1111,46,0,0,0,0,29,404,0,0,0,0,229,0,0,0,138,58,0,0,931,0,0,238,0,1086,659,136,944,0,87,0,404,0,26,0,0,0,523,18,0,1793,0,151,357
SAMPLE_37,2913,0,0,0,0,0,0,439,576,0,569,0,217,229,0,5005,795,0,1280,515,327,0,0,2018,0,0,0,0,138,684,3454,0,0,1568,399,0,1749,0,0,909,0,0,40,0,255,8,0,0,4633,1751,1645,1324,337,0,666,772,0,0,0,0,0,515,521,22,0,142,0,0,5829,0,0,0,201,0,0,4994,0,1083,0,66,0,3548,227,5387,0,1308,0,202,244,192,341,0,0,0,0,0,0,230,1080,432
SAMPLE_38,321,0,0,0,0,1489,1084,1214,180,436,695,0,142,2372,0,435,731,749,0,1624,0,0,0,36,92,0,118,0,0,0,0,0,749,0,430,2947,0,0,0,235,393,0,1451,0,0,0,17,0,0,133,0,0,1903,4487,235,3314,0,0,0,0,0,0,0,0,442,670,0,0,819,0,0,1005,0,0,0,1677,0,489,0,0,0,775,491,1430,0,900,2695,1658,0,0,631,16,0,1793,2053,0,0,284,827,28
SAMPLE_39,1304,0,0,74,1071,0,0,210,0,285,2213,0,167,0,0,0,0,0,2023,535,0,0,3,4041,0,104,295,0,0,2776,1509,0,0,2763,835,2406,0,0,0,0,0,1182,0,2851,19,41,1398,0,0,816,0,3519,0,3151,2256,5462,0,0,334,0,0,0,19,0,0,552,0,0,3094,0,0,119,0,0,0,71,113,0,0,560,118,0,0,0,0,1966,0,1480,0,0,0,0,0,781,0,1445,2687,0,1267,0
SAMPLE_40,55,86,0,0,0,0,0,876,37,0,0,0,384,1611,0,4903,0,978,1948,2911,57,0,0,32,0,1300,0,766,0,283,0,0,0,0,548,0,0,0,0,0,0,0,549,0,196,42,0,3761,0,211,0,1266,1274,0,908,530,0,0,2848,0,0,9,395,226,0,0,0,0,507,0,0,353,68,0,0,60,0,0,0,433,1841,5803,970,5867,0,69,0,1105,0,0,262,0,0,2028,0,0,0,2525,705,0
SAMPLE_41,0,599,171,0,615,342,0,96,0,203,0,0,0,128,0,3919,0,536,0,195,0,0,0,592,87,0,0,595,378,822,0,0,0,2720,339,0,0,694,0,0,260,0,0,1295,0,7,0,340,0,491,841,0,0,0,1354,1541,1,0,1647,0,0,0,0,0,0,0,0,8,44,67,0,11,496,0,0,682,0,1722,0,69,25,5801,0,4226,0,0,0,198,0,0,27,0,0,215,0,0,0,164,76,0
SAMPLE_42,196,236,12,0,0,0,0,331,1186,0,4660,0,659,225,0,2176,0,0,1383,789,0,0,0,0,0,0,2017,0,0,0,0,0,1089,0,1,932,0,0,0,510,16,49,0,0,0,0,0,0,0,0,298,1716,3037,0,1593,6918,0,0,1182,0,0,0,0,0,0,1052,0,0,0,0,0,2291,34,0,0,843,0,19,0,0,1379,3390,142,691,0,500,0,0,0,0,81,0,0,0,2170,0,0,52,0,0
SAMPLE_43,3094,1979,0,2552,1000,940,0,272,0,0,1386,0,0,1114,0,3071,0,1892,55,94,718,0,143,1001,111,0,441,55,1123,2175,0,0,347,0,346,1848,0,0,0,69,407,0,0,1995,0,70,0,757,0,0,0,2978,13,5568,0,0,0,0,0,0,0,0,0,0,257,76,0,0,2778,0,308,239,272,0,0,279,0,0,0,695,0,2247,301,5010,0,2651,0,138,1319,0,423,0,0,0,3030,0,0,672,996,266
SAMPLE_44,0,7,0,0,737,0,0,892,1563,0,0,787,199,1423,0,1393,0,448,0,1471,1206,0,0,85,4,1113,0,0,0,0,0,51,69,0,1182,20,0,2181,0,0,0,0,0,0,0,23,1266,0,0,0,0,1318,0,0,1404,2919,0,0,0,66,0,0,0,0,0,0,0,20,0,3912,0,139,0,0,0,0,2004,0,0,265,905,2434,0,1225,0,1378,0,540,0,0,0,87,0,798,0,0,127,596,421,0
SAMPLE_45,0,70,128,0,466,0,0,166,3,54,0,350,22,0,0,2755,0,0,892,2,14,0,0,567,0,0,0,195,0,41,987,0,972,83,91,0,0,45,0,0,0,0,54,1056,6,9,0,490,512,35,285,249,0,0,0,1901,0,0,0,0,0,0,8,0,0,10,2,287,1344,3220,1,1856,401,0,0,153,0,39,0,56,0,4308,0,2882,0,1168,0,0,0,0,736,7,0,975,0,0,0,0,340,16
SAMPLE_46,0,0,0,0,153,0,0,186,72,0,0,0,0,0,0,2812,36,0,0,108,0,133,0,10,0,0,0,68,0,0,0,0,0,0,21,1651,0,0,0,0,0,16,0,15,0,69,0,529,0,0,821,0,2010,0,0,0,0,0,598,0,0,8,57,0,0,212,0,0,307,0,0,12,2,0,0,1944,0,6,0,38,1669,4152,572,2721,0,0,238,9,0,0,13,21,0,52,0,0,1355,1834,163,0
SAMPLE_47,469,0,16,0,2392,2246,0,309,0,833,1089,9,0,3124,0,3917,0,7343,0,313,726,0,0,0,272,702,230,0,0,1656,3229,0,2280,0,16,961,0,0,0,0,357,26,21,3826,379,121,792,0,0,0,691,0,0,5099,0,0,0,0,0,54,504,148,1257,0,0,13,25,39,2372,0,0,1687,361,0,0,2839,0,787,0,51,88,2770,0,5758,0,1973,31,14,0,132,28,252,0,3533,0,0,1616,96,1263,8
SAMPLE_48,0,3237,97,0,0,0,0,1651,0,1456,2058,1372,875,0,0,1139,0,0,162,116,1343,0,0,0,12,0,0,0,0,3,0,0,298,0,15,983,47,0,0,0,872,908,0,0,0,0,0,895,0,0,1128,0,0,0,0,5069,0,0,0,0,0,0,1550,0,0,1525,9,0,0,698,0,645,1167,0,0,690,0,1815,0,0,81,885,845,0,0,0,0,39,0,0,0,40,0,0,34,0,0,659,0,0
SAMPLE_49,463,1083,91,0,0,0,1658,115,230,0,1370,0,0,0,0,4561,6,0,0,1544,0,0,0,946,0,321,0,817,0,91,0,0,76,3422,4,56,1414,0,0,233,0,0,0,2001,285,63,900,0,1100,126,0,951,0,677,563,4180,0,0,0,17,0,491,0,369,0,303,1,9,0,2324,0,163,483,0,0,1732,0,28,0,0,1556,2580,0,5037,0,286,0,0,0,0,1039,0,0,342,0,0,0,0,672,6
SAMPLE_50,458,0,0,0,1408,0,266,1542,1749,0,1392,0,0,3302,0,7104,0,1358,0,3288,1038,0,0,0,145,0,0,352,0,0,0,0,4056,130,1159,0,0,0,0,0,1367,0,0,0,0,26,0,0,3488,903,2600,0,2276,674,0,3931,0,0,700,103,0,255,0,25,0,845,1247,233,1493,0,0,1869,0,0,0,1196,0,0,0,216,0,8392,0,11170,0,2031,0,543,0,0,0,269,0,1617,0,0,0,642,542,15
SAMPLE_51,0,1977,0,60,0,0,0,57,0,0,496,0,0,3694,0,3935,1117,1076,271,340,154,0,0,0,0,0,0,5509,0,45,0,0,906,0,47,24,0,0,0,0,0,0,0,1608,0,26,0,0,2498,5,556,1535,502,0,2638,500,17,0,3050,0,0,0,0,0,0,0,0,254,0,0,0,1767,77,0,0,3418,0,0,0,372,992,5292,81,8621,0,0,0,920,0,0,841,0,0,0,0,0,0,509,694,0
SAMPLE_52,64,6,0,0,0,0,0,463,425,0,2493,162,325,0,0,1674,0,2569,4459,612,646,0,0,0,387,1264,1037,209,2,0,0,0,374,0,1200,0,0,3,0,0,387,0,2096,2538,3,31,0,196,0,216,1165,2024,0,0,0,3677,0,0,2012,65,0,0,96,0,195,1296,0,0,4552,0,0,774,273,0,0,103,0,0,0,338,2287,1724,0,1868,0,37,0,811,2424,0,502,178,0,1184,0,78,0,0,626,226
SAMPLE_53,312,0,47,0,0,449,0,117,18,231,0,0,0,44,0,2302,0,0,0,872,225,0,0,0,31,189,0,5128,271,0,0,0,0,0,108,0,0,0,0,0,834,0,257,0,0,118,0,0,1357,1065,0,3836,634,0,2909,848,0,0,3469,0,0,323,0,0,1870,310,422,228,0,0,0,0,242,0,191,624,0,1555,0,855,2156,3801,0,5111,0,960,0,2296,0,0,1519,1618,0,54,0,369,0,54,157,0
SAMPLE_54,2286,140,75,0,2101,0,0,0,0,0,2047,0,78,0,0,0,0,378,0,359,58,0,0,91,0,12,1258,1193,0,494,0,0,22,543,920,60,60,0,0,34,0,97,0,35,0,245,220,0,1030,0,16,359,0,0,1783,0,2802,0,1151,0,0,706,0,0,0,28,55,0,3272,0,79,34,265,0,0,1767,33,80,0,552,2400,1648,687,0,0,1874,0,978,0,188,0,0,0,615,0,652,0,2469,427,0
SAMPLE_55,571,1568,0,0,1511,0,0,933,1431,0,2862,0,10,0,0,2524,0,3169,42,1026,0,0,0,0,193,0,439,2673,0,39,1578,0,42,0,99,2052,0,0,0,73,0,0,0,2751,0,26,0,0,0,0,384,896,0,0,0,7537,0,0,412,672,0,108,0,844,0,38,0,0,2242,0,0,84,0,0,0,67,0,1548,0,31,123,2384,360,4897,0,3513,0,83,0,345,59,1991,0,0,130,0,1984,43,0,114
