,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100
SAMPLE_11,0,564,27,714,129,268,0,0,2695,1351,0,0,0,0,0,0,48,124,1837,1912,0,561,0,298,0,243,105,26,0,276,797,0,1034,2050,0,986,246,0,0,96,2666,3300,0,0,595,0,1395,927,2104,41,0,559,0,1225,35,378,0,422,3130,0,114,0,0,1834,1897,0,911,128,1826,0,0,0,3111,0,302,0,1930,1768,0,36,102,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,596,3644,3796,511
SAMPLE_12,0,21,0,1261,0,0,0,672,0,0,0,2569,750,97,928,3356,1660,1500,0,400,0,404,708,3061,423,0,0,0,0,666,5016,923,1975,1504,1507,3766,549,0,111,40,552,888,571,0,610,103,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,0,0,0,0,17,0,0,0,6045,1495,7255,135,159,0,40,2303,863,63,0,0,2389,0,0,0,0,0,729,0,284,0,0,0,0,0,83
SAMPLE_13,0,0,0,0,0,0,0,0,1410,0,0,195,0,238,3293,3949,580,249,0,130,2165,2914,486,2285,0,0,914,0,0,0,1557,0,2618,5053,0,2678,0,1014,0,101,263,92,0,0,0,54,0,439,649,0,17,6,0,44,0,0,24,11,144,0,157,0,46,211,1050,0,53,11,72,0,0,0,436,10642,1852,8108,2731,1946,4,41,0,0,1,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_14,0,122,0,2272,0,111,0,405,0,0,0,686,888,0,38,93,401,97,0,21,89,0,0,77,167,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,172,1473,1312,3045,463,23,365,0,709,411,658,962,2077,833,0,865,44,0,322,0,143,0,0,533,115,0,119,600,0,31,0,167,242,0,126,0,0,1092,3376,0,492,0,97,1926,0,0,1753,0,0,89,26,142,812,813,238
SAMPLE_15,877,47,54,819,182,263,563,0,0,0,0,459,0,0,708,2638,4640,791,0,202,342,245,253,1344,2439,0,0,0,0,241,1783,0,2518,3683,1896,4051,1693,0,1440,155,1086,373,0,2230,795,327,3494,0,0,0,0,0,0,0,0,0,20,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,1009,0,0,0,4756,1754,1800,92,76,0,4,0,0,0,108,1009,0,3647,0,665,0,0,63
SAMPLE_16,0,278,226,2909,527,357,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,738,0,192,0,225,1216,0,1344,2658,0,1129,0,0,0,0,0,0,0,227,23,23,72,0,0,0,55,361,163,1173,1351,1480,1457,1873,91,0,0,0,0,2025,0,0,0,1140,2462,176,3381,0,7425,5056,1743,5432,690,535,199,45,0,1650,65,73,0,5029,0,600,1219,0,333,170,0,870,4098,348,2055,3619,5157,238
SAMPLE_17,0,0,57,31,0,3,0,0,2353,349,0,913,378,221,2340,2579,0,0,0,0,305,236,0,797,1452,0,0,820,0,1195,4323,445,1743,1378,810,890,644,0,0,118,0,825,0,0,0,41,0,42,0,2538,0,1447,19,2141,979,0,1255,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,470,5,0,1132,0,0,351,1095,0,296,0,0,2120,866,1158,0,3922,7590,0
SAMPLE_18,0,0,0,0,0,179,0,0,295,114,131,51,0,117,794,2820,682,2066,0,595,636,1407,1474,2439,1793,0,24,0,81,263,780,0,947,779,1644,654,11,0,751,96,845,229,642,83,55,107,0,1149,0,10,0,485,0,2586,125,780,272,591,0,0,0,0,0,899,0,10,929,223,2022,99,2109,1048,4339,0,21,0,0,559,0,771,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_19,0,129,38,0,172,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,1333,5249,1027,1213,285,568,496,615,674,155,196,1593,1514,3151,285,244,486,0,239,0,0,6,0,0,0,19,0,0,0,206,0,15,22,0,1161,0,628,0,0,0,0,0,0,6839,0,0,0,0,0,82,190,2449,9,20,50,0,2556,0,120,0,77,0,187,0,0,0,0,24,2365,0,649
SAMPLE_20,0,0,0,0,0,0,0,0,1560,472,0,64,31,0,0,3,18,63,0,35,225,85,0,55,0,0,48,0,228,844,1836,0,2099,253,1119,714,1057,0,763,279,4350,3782,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,0,0,11,0,155,1633,0,436,0,27,0,0,0,0,0,0,0,97,708,0,0,886,0,0,384,0,87,1917,0,115,514,0,191,128,768,1343,5591,10055,0
SAMPLE_21,0,322,68,1582,234,77,962,0,264,0,0,1046,1028,0,60,90,378,78,132,144,91,300,214,1163,519,0,0,0,0,0,1661,0,2950,0,1542,939,1963,0,493,138,3177,1010,1578,0,1221,0,0,0,0,0,0,0,0,0,0,0,10,52,97,0,235,412,0,0,0,1093,0,0,0,52,760,324,0,80,21,0,74,0,0,93,0,0,2224,4332,0,4432,0,185,52,0,0,1627,0,3506,4633,1800,2612,7145,9118,277
SAMPLE_22,0,310,65,824,159,341,0,0,0,1225,3,0,0,339,1150,4072,2715,2654,0,681,1919,1311,0,1372,1604,0,373,0,2614,1898,6286,2409,0,0,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,201,0,752,0,0,0,0,0,51,1179,372,4232,1066,363,1191,0,0,198,0,0,59,178,188,0,598,0,88,1702,0,453,0,0,39,13,644,1953,8429,9134,2255
SAMPLE_23,0,278,0,3870,0,0,0,123,45,0,0,106,268,0,0,413,2462,494,114,1733,1623,760,0,900,424,1081,228,841,0,281,4450,1093,1381,11,0,46,0,0,148,0,1303,0,946,0,520,293,0,2611,16,0,0,178,36,0,1943,0,0,252,257,0,0,503,641,0,0,0,0,0,0,0,0,0,0,3773,384,1823,0,563,0,0,4735,2234,0,0,1419,526,0,26,0,0,0,0,0,0,0,2346,0,3492,0,1473
SAMPLE_24,0,58,34,1815,147,0,760,0,0,0,88,0,0,0,256,893,1152,192,0,1126,1264,396,18,926,1502,216,0,94,0,0,0,0,0,0,0,313,188,2656,0,206,1442,330,5070,2221,390,507,0,1439,0,0,6,0,0,0,1197,0,0,32,634,0,99,0,0,1668,16,335,0,0,0,0,0,0,0,0,590,2064,0,0,99,11,0,165,305,292,0,0,0,0,0,0,0,0,0,677,3395,0,1564,4439,5676,128
SAMPLE_25,0,5,8,842,0,37,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,923,536,2959,0,0,0,289,662,54,254,10,206,0,168,518,758,0,0,0,667,0,2929,157,0,83,347,141,1323,0,1817,578,2081,0,0,0,40,0,226,0,0,0,0,0,384,345,0,1342,2234,230,2584,0,0,317,0,0,0,300,0,329,2256,0,122,0,0,0,0,19,666,2856,1390,4640,10296,12689,5
SAMPLE_26,0,0,0,1735,138,68,0,367,0,0,0,0,0,77,629,2432,1152,679,0,212,604,243,0,458,765,1599,839,0,2296,602,3819,518,2365,437,5280,712,852,0,967,108,1614,1914,98,847,109,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,43,0,281,1369,481,3326,237,3593,910,0,5029,920,3151,0,0,39,36,118,225,0,0,0,1323,0,58,30,0,0,17,0,13,37,0,3,0,0,0
SAMPLE_27,0,45,12,246,14,23,0,13,0,29,0,0,0,508,1547,4457,5192,1129,0,350,0,403,692,2496,2881,0,0,0,0,2941,10376,1852,3513,810,5064,1371,2175,0,0,0,50,10,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,425,1272,0,0,71,0,0,0,9896,2473,272,1253,0,0,0,90,0,0,0,0,157,3395,280,349,1121,0,80,0,1,0,0,749,1254,6663,7928,61
SAMPLE_28,775,91,60,3624,249,154,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,3709,673,762,0,130,0,1074,408,2998,571,224,0,0,2,43,6,0,0,0,672,0,646,0,362,0,976,0,1788,0,25,0,0,974,0,399,0,352,386,0,250,0,0,0,123,3032,1287,1489,237,109,74,550,685,0,17,0,275,898,2633,0,1644,0,0,0,0,394,195,0,583,2816,0,514,0,701,135
SAMPLE_29,0,700,612,0,411,0,3498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,0,975,2970,12267,1910,3314,237,3970,541,768,0,232,85,1499,2820,0,0,845,421,1816,3934,3228,0,0,1104,419,3830,0,848,0,621,85,0,21,2604,0,4180,601,0,0,0,0,23,52,0,12640,42,3,0,0,1046,0,1377,1797,0,0,0,2930,0,974,195,25,0,0,61,0,269,1211,373,1312,2909,3310,1084
SAMPLE_30,0,108,118,1602,193,253,0,16,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,18,181,45,72,4344,0,234,975,305,3455,2227,2115,1291,2362,0,0,717,0,203,41,233,683,173,0,719,422,0,383,3932,393,111,0,0,1643,350,5031,598,1476,729,0,297,395,0,1406,2390,0,0,1794,0,1016,1328,0,0,0,0,0,0,0,0,0,1183,4019,422,2082,2485,0,74
SAMPLE_31,0,0,0,0,0,13,1176,655,0,232,0,1631,3374,0,0,0,3378,694,0,215,2780,1570,350,4556,2319,0,24,33,0,0,0,0,471,928,386,2053,0,224,1889,574,4427,1024,2363,425,633,188,2028,0,0,499,509,0,0,0,179,1253,0,579,4,0,22,0,0,713,0,525,0,0,0,136,2668,1092,0,838,292,874,0,41,0,21,243,0,1890,5390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_32,0,0,0,0,10,0,0,38,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,264,0,51,0,305,0,0,985,895,2065,2136,1735,0,18,55,85,16,0,0,0,229,0,3104,0,0,39,1060,112,672,0,0,0,0,2297,0,1168,2285,946,0,0,317,1802,567,4515,105,1909,25,0,457,68,225,0,11,0,24,0,271,37,55,0,1185,0,322,1631,0,134,509,0,177,174,0,0,0,0,0
SAMPLE_33,652,34,16,2483,0,252,131,128,0,0,0,128,52,192,0,1106,367,53,0,0,0,0,0,0,0,546,0,335,0,1322,5937,0,3849,0,1388,0,1719,400,305,169,705,172,0,0,90,13,39,0,0,35,0,22,0,51,0,25,1,210,0,0,0,0,0,0,0,0,0,553,2291,0,0,0,418,3800,945,2047,0,0,2,0,0,0,3807,6602,2024,0,219,200,0,0,0,0,128,0,0,0,2314,714,2607,0
SAMPLE_34,0,640,58,489,134,193,0,0,0,0,0,0,0,0,0,0,2005,0,0,0,0,0,0,0,0,0,843,0,2131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,1514,7,1,20,51,32,0,0,0,0,308,0,599,2478,1050,5237,8,0,0,0,2755,323,0,0,14,0,0,0,2307,0,0,0,2508,0,107,0,0,0,17,0,3,2,281,1040,1914,0,1608
SAMPLE_35,0,6,0,3003,254,386,0,0,0,0,0,0,163,0,0,0,0,0,0,59,2177,488,0,278,0,836,987,278,0,0,714,0,1283,1533,1868,3587,2308,0,140,65,1041,2439,0,0,0,1,0,0,0,445,0,256,0,1193,13,1712,0,1054,54,0,24,0,0,929,0,0,901,817,4620,576,96,0,1413,0,524,0,3062,2712,0,0,0,49,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,83
SAMPLE_36,1709,34,23,589,114,244,0,0,25,568,0,230,0,0,1878,0,0,0,861,481,0,0,0,0,0,0,0,0,1033,0,0,0,40,118,0,0,0,0,0,0,0,0,0,0,0,5,0,53,0,0,14,29,0,159,1062,0,362,269,596,0,0,50,0,3199,487,0,3342,0,400,96,2381,1075,12786,7,3,9,0,139,0,172,0,0,0,0,0,0,0,0,0,84,0,2109,0,888,326,0,77,71,120,24
SAMPLE_37,0,378,0,894,41,0,0,495,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,841,2172,0,1128,0,0,0,0,0,0,0,0,0,0,31,971,2586,0,0,0,17,0,280,0,453,143,1028,392,2981,0,0,51,810,1420,0,895,390,0,2970,1420,1095,0,0,0,2,71,0,16926,0,502,1724,2317,1659,0,34,0,2171,613,0,0,1652,0,485,2444,0,129,0,18,3077,1390,2283,4737,7877,9127,1726
SAMPLE_38,0,429,482,3132,650,480,750,0,259,1139,0,2482,808,0,443,1389,672,162,0,0,0,100,2481,916,99,0,477,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3008,0,0,145,312,34,216,30,2,29,0,1303,0,14,3025,0,50,0,0,0,0,0,978,3393,1076,0,3460,0,3653,1111,0,0,24,0,0,2325,2870,0,0,46,302,2639,221,20,413,0,4271,1738,1531,1782,4227,879,414
SAMPLE_39,0,886,125,2831,230,124,0,121,0,14,0,0,0,0,453,1680,0,0,0,0,0,0,0,0,0,253,2060,128,976,332,2630,319,1313,691,1940,1245,1952,0,223,123,1062,321,0,0,81,13,421,0,0,0,0,0,0,0,0,0,0,463,1111,0,592,0,0,826,0,146,0,62,0,0,0,0,4651,3117,514,3902,0,0,428,206,1024,0,384,445,0,586,0,0,0,0,0,0,0,0,0,1620,4852,6009,9588,767
SAMPLE_40,0,67,55,1400,107,82,0,0,0,0,0,673,1132,0,90,246,87,52,511,651,1709,1700,0,2872,0,2503,2840,1034,371,152,874,0,1126,1510,572,668,65,0,162,46,1034,2468,0,515,18,883,0,3366,735,875,778,3500,331,2175,0,0,0,0,4512,0,0,0,0,3568,0,0,716,0,0,1072,5465,2086,9182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376
SAMPLE_41,0,0,0,0,0,0,0,584,0,9,0,1973,295,0,1560,38,0,0,424,670,1081,981,0,0,45,184,0,568,279,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,165,0,40,0,1429,260,2541,1023,2783,0,2088,0,1161,1842,0,0,125,0,53,0,0,2866,481,7278,758,1799,814,0,0,470,0,1047,277,229,0,1212,431,12,0,4080,0,896,137,0,432,0,552,0,463,182,1272,3477,0,743,0
SAMPLE_42,0,0,0,0,0,0,0,0,3349,0,0,224,0,0,640,2234,807,332,1722,4094,3668,2428,0,1408,222,0,0,0,0,0,0,0,0,722,2377,1865,2122,630,0,119,826,186,4119,2678,311,434,0,1763,0,0,144,441,567,521,2934,0,0,71,0,0,0,0,0,4290,0,355,0,0,0,24,457,0,12188,1273,614,1600,0,2005,21,0,0,79,906,1376,0,1090,0,205,3851,0,222,0,0,0,0,0,0,0,0,0
SAMPLE_43,0,0,0,1910,0,290,0,326,0,36,0,1709,918,0,0,0,2647,628,0,0,726,1283,575,1027,0,1900,1255,256,3974,0,0,0,278,0,1008,1304,1001,0,13,0,365,308,1291,2537,120,283,0,147,0,3145,0,1587,244,0,1103,0,42,0,9,0,18,0,0,2665,0,1348,0,0,0,533,1657,800,12450,225,37,0,0,0,5,21,0,0,1261,2134,0,4077,0,0,0,0,0,37,1370,1854,1118,645,240,0,0,0
SAMPLE_44,0,4,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,458,0,3101,0,0,0,628,404,1534,1090,2053,0,80,54,382,622,0,0,0,98,0,1484,0,839,0,2239,68,2656,0,2298,0,1074,315,0,591,0,0,13,0,0,0,0,67,486,0,0,0,3610,0,1250,0,0,604,0,0,533,2026,3818,0,0,651,224,0,0,0,0,455,0,383,1012,1074,6183,7120,35
SAMPLE_45,0,513,0,5261,0,639,0,937,0,0,0,0,0,0,0,0,0,0,0,26,3990,1364,0,1186,848,900,437,0,576,4315,11336,1993,3066,2292,0,941,0,0,236,101,1526,3548,0,0,29,0,0,0,0,2371,0,1789,0,1190,779,0,955,1909,1013,0,805,0,0,66,0,546,1565,298,4438,0,0,0,0,3889,424,4479,37,0,304,1036,0,0,0,0,0,780,0,188,0,0,0,0,0,0,3324,2304,4852,6094,9574,1001
SAMPLE_46,0,388,59,1278,200,535,0,0,36,0,0,1333,1197,0,1111,0,0,0,1584,0,0,1225,159,896,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,1422,0,307,54,168,40,4,0,1,370,0,549,3346,0,239,108,2054,0,0,698,42,102,48,756,0,1955,0,3904,5016,2,0,4641,1,1757,1782,16,2150,22,484,0,0,0,0,0,0,0,43,0,132,0,2885
SAMPLE_47,692,100,0,1530,0,299,0,200,910,0,628,13,0,0,1726,12,0,16,0,4,0,0,36,0,17,497,739,0,364,0,4211,947,1753,1549,1071,3174,1547,736,0,148,714,1424,0,0,0,0,0,0,0,1644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,529,411,1741,104,1863,0,293,4873,814,2481,1398,417,10,0,0,841,1245,0,0,1100,0,0,0,0,0,1650,0,348,277,0,45,0,0,103
SAMPLE_48,0,1534,135,3673,348,348,0,380,2047,0,0,1417,424,270,921,3327,1019,208,0,1271,1345,437,0,320,170,653,0,178,0,2209,5337,869,1251,0,1016,484,1252,2246,0,181,1223,2420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,698,0,0,292,191,848,0,0,0,2817,0,437,0,72,0,341,89,0,756,1139,1335,0,378,0,126,0,0,7,0,0,0,0,334,1202,2915,3239,1397
SAMPLE_49,0,674,154,5227,487,559,0,0,0,227,0,3080,2225,0,1351,2195,0,0,2598,2626,0,286,0,2385,1732,0,179,25,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274,308,0,0,461,66,0,661,0,0,0,1162,0,2318,0,1298,108,0,1451,0,0,0,0,0,0,0,4333,2111,4102,1655,0,0,0,904,0,1094,1374,0,5246,225,424,2291,0,541,367,111,0,0,0,1775,2970,3466,1923
SAMPLE_50,0,393,86,368,34,0,0,909,0,0,0,1092,0,0,0,0,0,1613,0,476,467,143,0,265,16,169,68,28,17,52,406,0,668,1189,158,578,99,0,0,67,1454,307,688,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,177,0,0,0,40,656,0,0,2280,1159,2720,0,0,48,0,1339,3805,215,0,132,0,0,0,0,0,0,0,0,2907,1228,2326,1281,4991,5733,717
SAMPLE_51,0,1271,114,4853,460,582,0,25,0,0,0,0,0,0,0,0,0,260,2445,3130,0,0,375,1319,0,1000,562,163,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,121,3671,0,0,580,575,1204,68,3594,1391,3,21,348,212,0,364,761,0,0,0,318,0,0,0,184,4024,0,0,1071,134,589,0,0,261,0,0,0,1772,0,0,1339,0,73,99,0,19,0,23,0,0,415,1265,2175,4237,1206
SAMPLE_52,0,0,0,0,0,0,0,604,0,0,0,1434,1028,0,769,1206,0,0,0,0,0,0,0,0,1121,0,0,0,5958,0,0,0,325,689,5,309,0,424,0,0,53,0,438,0,29,16,0,0,0,0,0,19,0,121,1580,0,0,250,544,0,817,0,0,3507,0,0,0,0,0,19,0,0,14665,0,13,0,0,0,138,87,0,0,1011,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_53,1474,94,54,393,218,16,394,0,0,1836,0,0,0,522,1549,5248,0,0,0,0,0,0,0,0,1129,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3050,808,0,0,884,0,4776,763,48,3,118,937,0,1779,0,1872,709,1524,1247,351,0,2690,1,38,0,2563,98,10,101,0,0,606,0,0,84,125,314,0,7039,0,792,5413,0,995,0,0,0,0,0,1140,1770,2407,70
SAMPLE_54,0,146,0,959,0,363,0,0,0,0,0,0,723,0,364,1352,0,872,0,390,0,11,0,41,96,562,757,0,0,0,0,0,0,98,0,46,0,1027,0,58,208,55,0,0,0,235,0,2641,0,0,0,102,0,161,2482,0,0,110,221,1129,0,2142,0,901,0,568,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1548,11,12,0,2299,0,483,0,0,0,0,352,0,0,44,57,85,0,1162
SAMPLE_55,0,0,154,1529,603,115,924,0,0,0,0,2131,497,0,1115,259,0,1,0,0,318,153,546,251,0,598,2032,0,1025,0,1249,0,2477,2867,0,1237,0,526,1477,488,2046,942,0,0,97,56,0,389,0,0,0,393,31,214,175,0,0,368,0,0,691,0,0,1524,0,33,1048,661,2838,43,0,0,4944,11155,2216,10212,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1881,1147,4437,7612,0
