,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116,TAXA_117,TAXA_118,TAXA_119,TAXA_120
SAMPLE_21,417,0,0,1016,115,754,0,7,73,0,0,321,530,437,0,1045,0,0,0,0,869,1332,860,779,39,0,13,189,0,328,0,0,112,4149,69,4,0,0,0,0,166,0,0,0,0,0,42,0,0,1,1525,2230,1829,0,0,0,0,68,0,179,0,28,0,1487,0,0,0,15,0,2001,172,1768,877,0,0,0,0,1196,155,857,25,0,348,1719,155,1442,326,43,674,0,81,63,2004,0,0,0,0,0,2155,0,0,0,0,0,0,133,0,29,0,0,0,0,608,930,3153,999,0,0,0,0
SAMPLE_22,0,0,0,0,129,897,0,0,2065,0,0,572,0,52,0,1248,0,0,0,0,108,473,0,0,0,1,169,0,33,1116,749,378,16,0,0,0,0,0,0,0,210,0,13,27,0,0,1304,33,0,863,4757,1963,1950,169,0,5,2025,0,728,0,0,853,0,0,0,80,45,548,0,1514,92,201,759,0,0,280,0,0,0,0,434,0,0,169,0,2233,0,553,2635,0,676,1657,6274,2395,0,344,2229,0,0,0,661,0,0,0,42,25,0,1436,0,0,4092,0,275,20,1591,31,0,0,0,0
SAMPLE_23,1397,0,0,0,178,2094,487,238,1672,0,206,0,0,1130,356,0,0,0,0,0,0,1561,0,188,1768,0,0,0,96,1387,0,436,178,2105,0,1737,0,292,4445,0,0,0,0,0,0,0,1195,7,501,0,1320,1264,0,206,0,0,0,0,0,583,0,0,0,666,0,0,0,0,0,0,272,1357,1096,0,0,2195,0,371,0,0,658,0,1843,4860,202,31,512,1061,4828,0,2769,0,1854,0,676,524,0,3107,430,0,774,0,407,0,68,218,0,271,0,0,0,130,0,0,0,144,653,2945,0,0
SAMPLE_24,0,0,0,0,794,179,493,2684,0,46,0,0,0,0,0,1329,0,461,0,69,0,146,319,0,0,0,561,159,0,93,119,0,424,0,0,30,175,0,1345,0,0,203,7,0,0,100,0,0,0,0,0,3012,0,161,0,0,2037,0,69,0,0,2752,0,496,27,0,400,0,0,0,0,0,119,83,0,3034,0,0,34,191,1303,0,34,319,995,46,130,1665,33,0,1107,0,1778,285,0,0,0,0,436,0,0,0,0,19,0,413,0,1181,0,0,4529,111,325,301,0,29,120,0,440,506
SAMPLE_25,0,0,0,0,597,296,0,1063,1378,36,0,0,0,0,0,649,41,0,0,2,0,0,0,0,0,0,1683,453,0,53,3063,2412,199,0,0,1642,1897,0,0,0,56,626,0,1517,33,0,4924,0,0,0,1089,2205,1681,0,0,27,0,2110,0,0,213,0,0,396,19,676,18,323,0,0,1,0,0,105,0,1271,0,0,98,0,295,0,0,3877,0,0,0,2272,2521,0,4138,0,2092,1680,0,0,0,0,0,0,0,0,0,0,126,182,0,487,0,520,1552,0,2380,186,56,0,563,0,0,1151
SAMPLE_26,0,0,0,0,168,151,700,7,62,564,492,0,0,23,0,269,0,0,0,0,58,123,387,0,0,0,924,442,0,1219,62,0,0,0,0,632,0,0,5427,0,0,0,434,1142,226,0,43,0,3931,0,1287,3183,0,94,0,0,1503,0,1,2254,0,0,0,737,0,835,0,0,0,1925,9,0,90,41,0,0,0,0,0,537,0,0,80,974,0,498,0,3200,286,0,0,0,1866,0,1111,1138,0,0,0,0,424,0,582,0,0,64,0,291,510,0,4513,0,1873,255,0,48,224,0,0,4
SAMPLE_27,0,0,0,0,19,415,29,1363,0,83,471,0,256,901,0,0,0,0,0,0,0,1898,918,13,0,0,1073,66,389,26,0,0,137,0,0,961,0,0,0,0,0,0,158,120,0,0,3110,8,0,114,2477,5540,0,17,0,0,32,254,0,0,0,125,0,435,0,569,0,6,0,2664,0,395,2859,39,0,362,0,0,0,1340,99,0,0,1543,0,1085,922,3542,781,0,3,5,4645,1907,0,1,0,662,0,0,0,0,0,0,131,60,0,0,0,0,3600,1325,0,475,0,0,1182,0,0,63
SAMPLE_28,0,0,0,0,1013,263,0,0,0,0,0,30,529,7,88,1586,0,0,0,295,0,0,30,0,0,0,786,1441,0,172,999,0,157,0,53,1057,1299,2,1727,0,0,0,0,0,5,426,0,0,0,0,3107,4622,4347,711,0,0,0,427,103,0,0,0,23,46,317,960,88,0,1422,0,0,0,255,0,56,291,0,0,34,72,78,0,0,446,0,719,0,2583,0,0,0,0,4544,2246,0,0,0,0,278,0,221,0,0,0,0,384,0,6,0,0,5484,0,0,0,0,306,0,86,47,597
SAMPLE_29,0,0,0,0,0,2742,0,0,1253,0,0,0,0,56,89,806,0,0,0,0,0,1041,0,0,0,0,0,1332,529,221,3993,2710,69,0,0,782,3566,0,0,0,644,1923,0,171,0,0,906,18,64,0,5551,3030,1547,691,0,0,221,0,0,0,0,0,225,0,0,366,92,88,0,1818,3,911,2983,321,36,2269,0,0,58,18,1076,0,0,1471,0,97,1265,1190,70,0,2064,0,0,0,0,0,0,0,136,0,866,0,58,0,30,94,0,1654,0,0,0,0,6180,0,36,0,603,68,0,1181
SAMPLE_30,0,0,0,0,568,864,0,0,0,70,10,0,0,285,0,58,0,0,0,23,0,0,0,0,0,0,0,1232,30,932,2723,387,0,0,0,268,2726,0,1168,0,0,0,0,578,0,314,86,760,75,0,3266,1767,0,956,2622,0,0,116,598,0,0,533,0,0,136,1607,0,168,65,2298,653,0,495,163,0,298,0,0,166,0,0,0,1467,0,0,0,1168,4698,446,0,0,0,3590,0,38,0,1340,0,490,0,0,0,63,223,0,0,0,1150,0,0,3179,0,2137,0,2706,494,138,145,0,2620
SAMPLE_31,620,0,0,0,699,108,610,356,29,1868,859,0,346,0,211,0,2335,0,0,0,0,0,0,63,620,0,458,0,0,38,0,1595,0,0,0,1618,116,0,3234,0,4208,3072,0,146,0,250,90,675,0,1767,4221,3653,0,737,0,0,1001,765,0,0,0,522,0,0,0,262,0,0,0,425,832,2199,0,50,0,269,0,0,314,2628,284,0,1231,0,74,0,15,1609,0,30,125,320,3780,1540,2932,727,0,0,568,0,0,0,2227,0,2140,0,0,0,0,0,0,0,0,50,0,0,2926,0,0,0
SAMPLE_32,0,0,0,0,55,725,0,296,0,0,0,0,206,1700,0,392,0,0,0,0,0,3139,0,967,0,0,761,152,0,0,0,2888,324,0,2218,395,0,0,0,19,1318,0,1190,797,0,0,1585,30,327,0,0,2594,0,363,0,0,2358,0,1812,2311,0,2003,0,0,0,0,0,105,0,0,0,1416,3458,114,0,40,0,0,420,0,421,0,0,0,0,0,773,2478,0,0,0,0,0,0,0,1538,0,0,1707,0,0,212,250,0,192,0,0,163,0,0,2099,175,1813,79,0,1990,149,0,0,0
SAMPLE_33,0,0,0,0,2127,956,0,342,1542,0,313,2666,0,287,218,1588,3079,0,0,490,588,1339,0,0,2576,0,0,831,94,2033,0,590,7,1487,664,427,0,0,2922,0,1118,0,0,0,0,0,1799,719,1325,0,1368,3635,0,0,0,0,0,233,0,0,3181,1271,151,636,4484,0,578,566,0,1881,0,799,4553,379,0,1643,0,0,72,96,0,0,0,741,0,0,328,2544,2127,0,0,0,0,1064,1194,1395,1456,0,0,0,723,0,452,0,662,44,0,0,0,0,5779,2399,1309,0,0,874,193,0,0,0
SAMPLE_34,0,0,0,0,119,404,0,3038,0,0,1277,0,0,13,0,549,71,29,0,0,0,80,0,1246,0,134,0,396,19,132,0,0,0,0,0,143,0,0,267,0,876,0,502,54,0,0,4946,529,139,0,937,952,843,0,0,363,1001,0,14,0,0,686,0,0,0,585,132,400,0,3347,0,13,0,203,66,769,0,200,0,174,194,0,30,2866,0,0,24,2525,3409,0,0,0,0,5122,3620,0,0,0,0,0,0,0,37,0,40,132,0,0,0,0,1616,3794,217,0,105,0,111,29,0,0
SAMPLE_35,0,0,0,0,365,119,0,2388,0,0,0,2762,0,8,0,260,0,0,0,256,0,4,263,2,46,0,258,281,0,22,869,0,48,0,0,30,0,0,0,0,595,416,0,871,0,0,0,0,620,0,1996,3382,64,0,0,2,608,0,580,0,0,127,30,308,63,411,187,7,0,2521,0,721,25,24,53,507,0,12,229,545,1038,0,7,978,0,3348,0,842,1760,292,0,0,5493,0,0,0,0,0,797,0,979,0,452,0,0,64,0,0,0,0,0,0,0,138,0,181,12,1281,0,3590
SAMPLE_36,0,0,0,0,100,918,0,2289,441,1048,0,0,125,0,141,671,0,0,0,0,0,0,19,442,0,0,1148,294,0,102,11,0,0,0,0,0,5,43,2048,0,0,3296,31,0,0,0,1774,91,3926,0,0,0,3662,144,0,12,0,0,87,786,0,1879,36,0,0,597,46,1061,0,0,0,0,44,162,0,905,0,0,0,364,685,2523,1582,800,657,413,0,3661,0,0,1816,0,4142,2322,0,0,0,0,0,0,0,586,1562,0,192,0,0,1,0,0,0,140,3874,0,0,0,0,0,3920,288
SAMPLE_37,406,0,0,0,782,759,1219,133,0,0,0,1879,0,16,0,1014,679,0,0,113,0,1666,164,189,1764,0,45,2159,37,1240,0,1136,0,0,0,0,0,0,2351,0,1837,0,0,0,791,0,359,391,4286,0,3250,2275,2542,17,0,0,415,0,0,0,0,0,0,0,923,0,282,3,1128,1826,0,1258,3425,17,760,803,0,0,0,32,303,0,15,2123,199,0,449,135,1381,0,0,0,4089,0,0,185,0,0,2247,0,0,0,689,0,0,312,0,0,0,0,361,968,1044,199,0,1470,1231,376,0,0
SAMPLE_38,0,0,0,0,2200,0,0,2109,708,0,1861,0,0,675,0,0,25,0,0,0,741,620,0,1028,1629,1084,0,4243,207,808,0,0,746,0,2882,299,0,0,0,0,2110,29,892,0,0,1113,974,161,0,0,187,61,0,0,0,9,865,2131,0,0,0,156,1310,0,0,0,302,0,0,0,0,0,0,0,0,808,0,8,1010,27,1749,0,1297,5210,155,0,168,3270,1124,0,124,0,64,2455,3145,937,3374,0,1154,0,853,23,301,0,1275,432,0,0,0,0,0,157,532,0,0,3652,893,0,0,0
SAMPLE_39,0,0,0,0,58,0,0,41,0,0,0,0,0,0,0,0,0,0,0,6,0,0,890,1168,2304,0,1336,221,0,1320,0,0,34,3908,0,247,0,0,0,0,344,3749,0,653,0,0,77,0,1990,0,3438,3801,2901,616,0,17,0,0,120,814,0,0,0,142,8,545,390,58,0,4289,129,161,36,0,0,1015,0,0,1022,245,289,0,0,0,742,229,0,3642,1155,0,0,0,7473,0,0,0,0,0,1648,0,1601,0,414,2073,0,0,0,234,0,0,7966,0,1949,610,1744,79,0,1633,0,252
SAMPLE_40,0,0,0,0,1078,2258,0,9,0,1514,0,0,1892,1565,0,0,0,14,0,0,0,2018,604,0,0,0,1848,2531,1035,0,0,0,53,0,0,935,0,0,0,0,0,2612,25,0,866,285,110,0,988,0,3956,2504,0,0,0,0,0,0,614,0,0,0,0,0,0,1146,0,15,0,1678,0,1471,1448,0,1263,0,0,0,123,0,0,0,0,1926,315,0,671,5562,0,18,0,0,5521,581,0,0,746,0,1784,0,0,0,798,0,0,93,0,0,0,0,3743,320,0,509,0,0,0,579,0,2821
SAMPLE_41,0,0,0,0,0,0,0,8,0,0,117,0,0,0,0,831,1452,0,0,183,0,1145,0,91,750,0,655,130,0,1032,54,2752,369,3180,0,823,0,0,0,0,886,1536,0,435,0,0,28,116,0,0,4526,1087,2247,128,0,6,236,3053,0,68,0,0,20,0,1374,463,53,0,0,1705,0,1603,1193,75,0,1112,0,0,80,0,0,0,0,1021,66,0,0,2022,0,0,0,0,6334,0,49,867,3093,0,381,0,231,0,0,17,1210,433,0,0,103,0,0,0,0,0,0,582,354,13,0,0
SAMPLE_42,0,0,0,0,1260,233,772,25,0,0,841,0,310,359,0,349,2536,0,0,36,0,316,0,0,24,0,1806,0,0,0,0,0,104,0,98,867,0,0,2602,0,0,2490,284,0,0,734,139,0,630,0,2546,1734,3,0,5736,5,0,71,0,0,0,768,0,0,435,1052,10,0,0,0,565,0,1171,0,0,4744,0,958,0,72,1381,4,199,0,141,340,74,1732,0,1236,892,0,7529,5,0,0,5972,0,791,0,752,131,45,0,0,7,0,110,0,737,0,255,779,1171,0,590,321,0,0,0
SAMPLE_43,1838,0,0,0,693,465,0,3082,1822,180,23,341,2056,307,0,1507,0,0,0,0,681,0,0,0,0,0,0,1181,0,0,0,0,17,0,0,16,0,70,2562,176,3102,0,158,72,0,0,3325,0,0,158,718,1896,8443,89,0,314,1680,0,706,0,0,0,0,158,0,487,146,648,0,2539,6,0,0,161,58,460,0,0,0,835,242,0,325,1545,18,0,0,551,1263,0,5068,3477,0,4846,0,0,0,0,0,0,0,525,0,2996,35,74,0,0,0,0,1587,918,21,0,86,0,5,2037,0,0
SAMPLE_44,0,0,0,0,757,709,0,2863,0,2036,0,0,0,8,0,53,0,0,0,0,15,0,495,0,0,0,1170,2821,21,7,0,0,214,0,0,248,0,0,63,0,66,201,0,649,0,1144,3387,0,212,10,2307,5466,0,995,3571,0,859,0,119,0,0,0,0,898,0,0,516,0,0,0,1216,0,0,385,0,6386,0,0,0,0,368,0,0,0,1206,0,0,3676,0,0,22,63,3311,195,0,0,722,0,0,0,859,0,95,652,0,52,0,22,0,0,2770,0,0,0,60,0,3972,0,0,756
SAMPLE_45,0,0,0,0,28,591,278,0,0,4,0,0,0,0,0,1204,86,1022,0,186,0,2,1190,32,0,0,28,0,0,0,0,0,0,0,0,393,0,0,3340,0,0,0,0,1049,0,0,0,22,57,0,628,285,0,0,0,393,0,265,3073,1,0,4028,0,2374,159,373,0,214,0,3670,0,0,303,0,0,3118,0,6,0,2564,595,0,94,3868,826,3654,1262,79,1702,0,0,0,2273,0,0,1193,0,0,1166,0,1736,0,0,1599,201,0,0,535,57,0,0,764,33,479,0,0,159,0,0,0
