,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116,TAXA_117,TAXA_118,TAXA_119,TAXA_120,TAXA_121,TAXA_122,TAXA_123,TAXA_124,TAXA_125,TAXA_126,TAXA_127,TAXA_128,TAXA_129,TAXA_130,TAXA_131,TAXA_132,TAXA_133,TAXA_134,TAXA_135,TAXA_136,TAXA_137,TAXA_138,TAXA_139,TAXA_140,TAXA_141,TAXA_142,TAXA_143,TAXA_144,TAXA_145,TAXA_146,TAXA_147,TAXA_148,TAXA_149,TAXA_150
SAMPLE_11,716,0,2335,0,1876,434,95,449,2182,342,2842,0,955,0,0,4525,0,0,1252,349,0,0,0,2568,5964,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,559,0,0,606,0,417,70,1917,0,2065,0,3143,641,0,0,497,1423,1476,918,2134,0,595,1190,2401,130,0,0,0,121,0,0,0,396,496,0,0,571,93,1388,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,745,0,0,1447,0,0,0,0,1658,2425,2584,649,1267,992,351,462,1540,686,0,1342,743,163,706,1872,312,0,1418,1016,1070,797,1236,325,1357,0,0,1713,2620,5737,967,2701,1236,0
SAMPLE_12,908,0,1476,682,3989,0,0,166,1168,497,0,70,3398,0,0,3531,0,3268,462,0,385,208,0,2072,0,0,0,601,0,1165,0,0,1282,0,228,0,0,634,0,1183,0,67,470,0,88,161,999,850,0,1570,271,0,179,243,371,0,0,87,34,0,0,497,0,0,0,4628,0,1386,4016,679,0,2079,999,2255,148,1916,0,0,0,0,3679,0,156,318,0,0,35,133,1668,399,0,665,569,1767,0,0,0,0,1340,3428,4127,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,0,0,0,822,472,0,3483,332,0,1154,1218,427,625,1373,0,1129,0,1122,657,0,1347,2244
SAMPLE_13,689,183,47,369,0,0,168,389,0,0,91,0,0,1764,0,0,0,0,0,0,0,0,0,0,1992,0,509,785,12,0,0,786,2713,20,457,4155,0,423,412,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,2440,0,0,0,0,0,0,0,141,213,0,0,1974,720,0,0,1288,0,242,1998,0,184,0,0,115,128,3051,0,36,284,243,0,0,0,1706,302,3062,1001,0,964,2769,114,0,1106,318,291,829,0,2396,0,0,0,2704,1804,1424,1419,0,2040,343,0,0,0,667,1278,0,165,1158,0,708,118,606,1517,0,32,238,1202,39,0,376,0,651,1323,1407,745,3149,365,0,0,173,1579,0,2365,0,1822,0,0
SAMPLE_14,2129,0,1372,716,0,0,1076,635,1171,503,397,0,0,442,0,0,0,0,0,0,134,0,236,0,0,0,0,485,1516,0,0,0,0,0,0,0,0,0,0,0,11721,68,1748,0,279,1367,3275,0,0,80,0,417,999,0,521,2031,16,1164,143,981,0,1095,413,203,0,2333,3368,0,0,442,4484,719,0,0,0,1371,717,0,0,148,0,0,0,418,0,0,1355,0,917,817,0,1900,3579,0,3571,0,451,626,77,1913,892,0,1958,0,473,2312,5386,0,0,2551,2754,1125,0,0,0,881,648,1132,484,2547,671,3002,761,122,0,61,0,0,565,1088,0,181,0,1047,0,6954,0,0,0,0,0,343,892,4947,972,2346,0,1383,1637,0
SAMPLE_15,0,0,0,0,0,0,0,0,512,0,1967,0,0,229,0,2960,0,1385,1203,0,95,0,245,209,3305,4840,661,1848,0,1341,766,0,1655,0,0,0,565,122,0,0,0,0,0,0,1504,108,253,1936,0,0,0,213,0,0,52,0,0,2156,607,0,221,3147,1225,0,0,0,0,927,3675,1275,1887,2075,3166,3151,825,1906,4963,525,40,507,0,2947,0,156,1225,4670,435,313,0,0,0,605,2108,0,2525,0,691,0,0,0,0,0,422,0,0,0,925,896,783,269,39,293,706,737,0,83,1907,761,345,0,2857,364,1299,199,862,1135,711,1131,313,0,318,492,0,0,0,2261,0,1535,3101,453,0,0,0,0,0,3047,1311,0,0,0
SAMPLE_16,1748,0,152,0,6281,1480,210,841,0,0,0,1780,0,0,0,0,387,0,0,11,0,1666,0,1298,579,0,0,0,0,0,0,0,923,0,0,0,455,1392,0,2599,11589,371,1378,0,346,1355,641,0,268,671,659,236,204,728,331,175,0,951,198,0,0,1110,0,277,0,0,2387,2626,4141,736,2001,3387,5720,1359,114,0,0,0,624,454,0,313,327,0,2619,0,555,0,0,215,0,1414,0,0,0,0,0,0,0,0,381,0,496,0,0,0,0,0,0,368,0,0,0,5054,0,0,0,352,0,0,0,1727,4752,176,0,0,2021,1392,750,0,977,0,307,2755,0,3781,236,2352,677,0,0,109,30,1602,1380,2012,0,279,0,645
SAMPLE_17,196,0,983,1882,6603,0,0,445,1104,411,0,0,2333,0,804,757,0,3246,326,391,180,2663,2255,215,2704,197,0,1198,729,84,2873,349,0,0,782,0,19,280,244,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,954,0,0,0,4265,3267,0,0,0,2904,0,1548,2580,686,1622,411,2255,3846,97,0,0,3235,767,976,0,0,0,628,2119,0,0,0,0,536,0,1621,1846,0,2795,1525,251,0,0,1040,0,0,0,0,0,0,3004,0,470,0,0,0,0,0,0,1120,1506,996,492,2808,1752,1834,0,252,1979,2201,0,0,0,5118,1576,0,997,1179,0,2609,2388,0,1297,220,0,0,0,3223,0,1637,0,335,2015,3426
SAMPLE_18,187,0,0,577,1144,0,0,0,0,404,1841,631,167,518,850,506,0,17005,460,0,285,753,0,2346,503,1305,0,1126,0,0,806,0,1709,0,0,0,321,0,11,358,6602,46,1087,0,764,827,1240,0,84,0,1256,557,100,0,457,1780,35,907,1134,0,319,3386,0,0,0,3272,0,0,0,0,0,61,0,0,0,0,0,0,1961,0,0,0,0,0,2041,9373,0,0,0,121,0,0,165,0,0,0,2349,939,5551,0,3963,236,592,0,0,0,0,0,0,1243,0,2631,0,0,0,1361,0,1549,1290,0,1088,1575,0,79,0,0,0,0,809,3133,0,26,802,1039,1195,3145,2708,918,1023,688,1152,1083,196,1342,0,1026,632,25,2538,648
SAMPLE_19,56,1302,853,0,3408,824,0,0,3983,549,302,281,185,2005,1573,3030,0,0,439,0,518,928,0,1488,221,0,0,3100,0,0,320,0,1260,0,1737,2765,51,0,434,355,0,0,0,949,0,954,0,0,0,0,0,324,41,0,0,0,307,2395,484,0,2350,0,0,234,778,618,0,0,2199,2056,0,0,684,0,0,1165,0,900,0,0,0,0,0,0,1234,2724,0,0,0,0,0,401,0,0,1550,223,262,191,0,0,667,57,2395,392,337,216,4627,499,0,2505,344,0,374,260,0,0,544,3041,1625,0,3407,0,1429,0,1328,1895,1080,271,382,162,332,24,0,0,3515,0,542,606,0,136,0,57,0,191,0,0,0,0,668,0
SAMPLE_20,0,0,3686,754,1198,0,0,0,0,214,0,392,0,2304,1189,604,0,872,132,0,95,0,0,2587,3585,0,0,0,1076,0,1408,608,1913,84,893,3288,952,1952,685,1338,0,0,94,0,1181,1313,5011,0,0,4881,630,0,172,0,0,1624,143,0,0,0,1161,0,0,303,1286,5497,3668,0,0,1797,0,0,0,0,906,2000,5242,385,1136,0,0,227,397,157,471,0,0,372,1706,1077,0,0,2679,0,0,995,0,0,0,0,0,0,1346,0,392,1000,4658,0,0,4375,1170,772,0,0,0,0,726,266,566,0,0,0,1869,51,0,0,861,1227,1117,0,0,136,0,0,0,0,1387,0,78,0,0,0,74,1463,0,845,0,754,0,50
SAMPLE_21,0,0,1531,519,0,0,0,0,2906,439,0,1170,0,0,0,0,0,1270,1576,368,0,85,624,0,5932,4135,1512,0,0,0,0,2328,0,149,0,0,13,3262,1765,0,0,214,832,0,806,901,1941,0,1366,620,617,222,192,0,0,0,164,0,0,0,2075,3471,1974,100,1901,0,735,0,0,2251,291,215,4554,0,171,2486,494,0,1216,0,147,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,1771,0,0,0,260,0,203,479,525,0,0,0,0,454,5484,160,0,0,0,2252,1502,0,0,3470,0,0,452,682,2109,3773,821,398,0,1215,1699,165,260,0,3577,0,0,417,0,0,0,0,348,0,823,0,0,0,107
SAMPLE_22,364,0,0,0,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2129,3328,0,52,406,630,258,91,164,0,0,219,1025,232,3114,58,294,0,0,302,851,196,0,0,1903,3023,0,0,881,4253,377,4279,5,1682,2622,0,1335,0,663,0,47,0,728,837,0,0,0,0,167,1818,3647,523,0,0,0,241,0,0,0,0,657,157,2094,508,3884,1443,204,2501,593,1803,0,2282,0,4885,2329,0,643,261,1360,0,0,112,0,1654,0,1879,751,2558,1512,0,937,1552,300,1163,2294,1468,4092,535,2652,202,3234,681,2145,6078,0,614,496,153,2041,999,950,444,920,0,0,0,0,106,4399,848,623,0,0,0
SAMPLE_23,0,0,41,1221,1050,0,25,264,0,0,930,0,0,176,146,498,0,0,0,0,0,0,0,0,0,0,555,0,0,832,0,0,5003,0,0,0,0,338,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,840,0,1376,0,0,372,5243,0,0,0,0,1857,4621,1605,2003,1469,423,1670,0,177,2228,0,2561,2087,148,0,3130,72,0,743,1871,130,0,0,0,3759,0,0,0,0,817,126,1473,0,2429,0,77,0,23,0,208,460,458,379,0,256,1412,81,3617,639,309,242,1190,3627,1337,1051,3593,0,0,1381,0,0,0,601,4136,0,135,391,688,3708,3161,2856,181,2287,83,0,544,0,614,0,1083,0,882,635,2170
SAMPLE_24,0,1554,238,907,2563,238,483,175,4699,0,3749,0,1382,3071,537,1449,0,5544,2120,52,536,3586,1222,2609,5844,1181,0,0,0,843,329,0,4497,0,1769,819,645,0,919,0,209,537,579,1583,1569,1298,3839,1584,690,0,0,985,311,0,0,366,230,1391,0,0,2180,3760,0,103,0,3171,0,3402,703,904,1899,2337,2325,0,0,0,0,740,1401,0,0,7906,234,126,2485,0,0,190,0,0,0,0,0,0,0,301,0,0,0,0,0,0,90,0,0,0,0,0,0,0,4,41,165,0,0,0,1171,0,0,0,2440,0,0,0,0,0,0,0,229,0,0,0,26,1086,1940,1616,0,2302,658,223,0,444,354,1356,0,856,58,0,458,1018
SAMPLE_25,0,0,2064,0,1510,0,926,254,1733,380,0,2043,2255,727,0,121,1761,0,301,96,22,0,1231,113,1718,2361,764,2924,0,1226,2425,3624,3350,505,1874,0,593,504,0,0,2625,0,529,55,0,83,0,51,1455,2624,0,0,0,161,1791,19,769,1055,0,0,0,1067,155,0,1377,7358,0,0,0,4590,180,0,0,0,774,0,0,242,225,0,343,3122,0,0,0,0,0,268,290,1133,1596,0,475,4515,0,0,0,0,4171,0,860,0,83,0,0,0,134,0,228,286,172,0,2370,0,515,18,154,0,0,0,3333,0,2274,0,684,0,0,0,1857,0,0,0,0,0,0,388,0,1671,0,0,0,0,0,0,0,0,0,1598,0,0
SAMPLE_26,0,3147,56,956,0,0,59,117,0,845,0,2672,433,2201,241,0,0,6099,528,224,382,2963,0,1404,2341,1131,0,1935,0,753,1540,0,0,70,629,535,0,1003,138,0,2382,0,253,0,0,835,327,86,0,0,1226,694,96,0,1255,2146,0,716,535,0,0,4542,0,345,0,3847,0,0,0,408,0,0,0,3537,0,0,0,0,0,0,2155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2834,0,440,0,0,422,0,3450,1167,0,228,1555,545,1920,1232,0,980,174,1355,72,0,191,581,4976,0,0,1908,0,410,765,138,381,1192,612,0,148,0,724,1588,3979,2446,0,0,4677
SAMPLE_27,206,0,0,0,0,1290,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,1483,2740,4276,321,745,162,1569,425,0,1696,85,1967,0,0,910,586,472,0,0,496,673,423,0,2524,0,149,0,1851,172,222,0,2119,0,113,0,347,0,425,2451,707,416,0,0,1313,1600,1402,417,3499,2641,0,1233,41,3145,1090,612,1768,608,0,1241,0,314,3590,0,2024,540,163,353,1018,956,0,559,394,0,20,1508,245,2526,0,6,1809,0,0,106,0,0,759,805,496,3427,3096,3315,0,0,0,0,792,0,3739,0,0,52,2243,965,540,1569,319,2253,0,54,1873,0,0,0,0,396,0,881,1148,1148,0,618,1592,352,0,0,0,0
SAMPLE_28,0,0,0,0,0,0,385,30,0,949,0,1288,192,3487,1276,919,0,0,779,0,525,1678,1210,510,1803,4070,0,2456,0,3133,216,0,0,0,0,0,0,0,0,0,0,0,89,0,111,0,786,1708,0,0,810,0,527,0,991,231,62,439,1422,0,0,0,0,602,0,1819,1864,100,0,1634,4234,1041,0,0,0,1327,359,1062,111,326,0,3387,0,837,2117,7695,2259,1016,819,1184,149,1552,220,1984,4035,2076,888,1535,1408,0,3746,0,0,2162,111,96,0,0,49,425,1352,0,1528,0,0,1589,0,648,0,1150,2769,117,0,64,2424,0,0,1388,683,0,0,0,678,0,0,4031,0,0,0,0,1410,0,0,0,0,0,0,0,0,71
SAMPLE_29,371,227,0,0,4670,0,0,224,0,0,0,0,206,0,1782,526,41,5831,0,218,88,206,3421,0,0,0,0,0,1454,887,0,0,810,0,708,0,0,56,36,0,0,0,160,0,331,864,523,2931,0,0,0,497,82,0,488,0,0,2973,625,0,0,0,0,0,3174,0,1484,1963,2972,801,2738,2005,2323,6291,1183,962,8446,0,0,1079,1759,889,0,147,3415,0,1059,868,1407,1811,0,1454,4249,0,4366,626,425,1075,0,0,608,0,0,0,1234,0,0,0,1068,0,0,0,0,0,2542,0,2200,4613,1874,920,1745,2628,0,48,0,0,1400,0,0,0,0,0,0,536,0,0,322,0,3814,414,0,827,0,605,0,3911,598,0,1079,781
SAMPLE_30,1123,528,0,604,1673,0,109,315,624,78,153,1487,0,0,0,2306,0,6090,277,87,122,226,0,157,634,0,1127,362,118,0,0,2239,1562,0,383,0,113,524,855,1715,2262,38,956,0,0,214,2662,354,4009,0,1558,0,157,181,1419,0,0,481,0,0,1581,3031,0,0,0,6578,0,0,0,3657,0,1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915,904,0,141,0,349,68,303,916,0,0,414,0,0,0,0,0,0,3158,3212,615,4238,3079,732,318,237,1401,1069,0,0,243,1893,168,0,0,32,0,0,0,719,978,497,987,880,182,2124,1675,4757,3395,95,1115,1595
SAMPLE_31,394,0,0,0,2975,0,864,565,540,102,3249,0,0,0,1554,3448,0,0,607,35,293,0,139,247,3825,3641,1140,0,0,0,595,468,1350,0,0,8294,665,1373,1221,688,4532,36,306,0,1130,0,1303,2360,667,0,488,178,0,357,308,1244,0,0,0,0,0,2305,370,0,0,1141,0,0,6648,2891,0,1978,0,1964,888,575,0,0,0,0,407,1734,0,82,0,2055,165,204,0,0,0,326,1575,362,0,429,208,2898,0,2631,696,0,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,0,0,2800,1803,260,0,0,0,2070,0,2783,0,236,1192
SAMPLE_32,141,0,738,0,0,0,103,0,415,109,2068,179,0,0,0,0,2353,1556,0,0,0,412,0,489,0,541,292,0,0,1831,0,0,3449,0,369,0,0,175,0,653,9407,0,1375,1336,905,1564,0,424,0,0,0,897,667,0,0,0,0,1017,1549,0,1588,0,784,390,1256,0,2371,0,410,513,2309,1066,0,0,0,497,58,0,0,0,0,0,0,50,346,0,0,549,1678,335,0,1449,3965,0,2582,252,0,0,2668,4093,1447,0,0,207,1920,0,0,1931,0,164,1010,1027,1378,0,0,0,266,0,207,0,606,0,2049,0,0,160,0,0,754,1752,0,0,106,582,1120,482,0,1889,614,0,1294,1147,340,791,702,987,0,296,2060,0
SAMPLE_33,0,2905,0,245,7369,511,0,1098,0,0,1578,0,3602,0,0,0,0,0,208,329,0,0,0,31,1056,321,452,357,56,0,2145,2882,411,0,775,0,4,1258,0,0,0,0,0,0,56,0,1774,1293,1537,0,45,263,70,104,1821,0,161,510,859,0,342,0,1001,424,0,0,107,4205,733,739,1562,3320,1662,4384,0,4650,1273,1938,1544,0,0,0,0,530,2835,0,0,788,612,0,0,1435,1299,0,3246,0,0,0,641,4096,0,0,305,0,744,0,0,1471,0,0,0,0,694,3177,2104,27,0,0,0,0,2766,0,608,57,1616,0,0,287,0,0,0,1399,0,0,0,0,0,2208,0,0,0,0,4,0,0,0,0,0,0,1260
SAMPLE_34,0,0,0,0,5507,0,0,872,0,716,0,0,0,0,0,0,1172,0,0,0,20,0,0,0,0,1032,1595,598,1276,0,0,1396,2230,0,3094,210,648,692,284,725,5922,151,419,0,1930,1878,467,266,0,0,503,0,154,934,0,438,8,369,29,225,0,1193,65,30,0,4682,0,1413,5818,2157,838,3112,2122,37,349,0,0,0,899,378,0,2196,0,385,0,2711,381,292,0,0,0,72,1260,170,0,0,0,0,0,0,0,0,0,980,933,520,0,0,596,681,394,0,93,1547,0,0,0,3092,143,6948,3832,0,0,0,3965,1347,0,303,0,5146,330,537,227,1160,160,874,0,1637,2655,0,201,0,37,123,62,0,242,0,0,0
