,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116,TAXA_117,TAXA_118,TAXA_119,TAXA_120,TAXA_121,TAXA_122,TAXA_123,TAXA_124,TAXA_125,TAXA_126,TAXA_127,TAXA_128,TAXA_129,TAXA_130,TAXA_131,TAXA_132,TAXA_133,TAXA_134,TAXA_135,TAXA_136,TAXA_137,TAXA_138,TAXA_139,TAXA_140,TAXA_141,TAXA_142,TAXA_143,TAXA_144,TAXA_145,TAXA_146,TAXA_147,TAXA_148,TAXA_149,TAXA_150
SAMPLE_11,859,0,0,424,1814,0,2317,664,822,0,224,217,0,0,211,676,0,0,0,0,0,2878,1036,0,0,540,8,0,4447,1001,111,409,0,50,0,2601,0,0,178,0,0,0,0,0,0,797,0,0,0,0,650,0,3195,0,0,397,496,0,83,0,0,0,1699,0,0,0,0,859,0,2789,221,0,0,0,857,3563,463,0,0,0,0,0,0,0,0,173,0,0,2860,447,0,0,0,0,4074,4049,0,0,0,0,7260,423,0,0,379,0,1398,0,139,477,0,603,4418,0,3506,0,2844,1225,1434,0,484,0,1887,3783,467,691,0,0,0,593,0,740,356,0,0,0,614,0,244,0,0,0,516,0,0,561,0,0,2273,87
SAMPLE_12,908,49,0,543,311,181,0,0,0,970,0,0,0,2310,1747,0,5186,742,1072,0,2148,0,1421,0,0,403,0,3366,5289,7119,281,0,0,0,0,0,0,2047,0,0,880,364,0,0,0,0,0,2057,0,6187,526,5269,2337,0,0,640,0,0,2531,2162,0,0,0,266,0,0,0,704,1545,5608,115,0,0,0,182,0,1570,0,0,234,0,0,0,1172,0,0,216,0,3537,0,1359,0,3698,0,3057,0,4,1862,1400,730,0,0,1616,0,444,0,0,2305,0,2309,0,0,0,2333,0,0,1524,0,1803,0,0,0,735,2613,530,5772,264,3554,0,7996,0,0,730,0,1473,0,0,4511,233,175,0,0,65,0,0,0,0,1751,0,0
SAMPLE_13,0,0,0,0,0,0,5297,0,749,1287,0,0,0,0,1186,868,1437,0,507,0,0,0,229,1479,0,0,0,234,1852,0,0,599,0,106,0,0,997,0,0,0,0,0,470,235,0,0,646,0,0,8044,2920,2496,609,723,4115,0,4199,0,0,0,0,0,272,0,200,2123,0,0,0,2299,0,218,0,2555,0,723,3125,1645,0,0,0,0,232,1381,8065,0,144,0,2512,409,0,553,0,0,0,150,197,0,147,49,4371,0,498,0,0,2234,0,0,0,0,0,0,1977,0,0,0,1702,2087,0,0,0,1426,772,0,780,0,0,3033,0,2361,0,913,673,2130,0,0,883,1012,0,67,0,0,617,2305,164,0,0,0,1886,0
SAMPLE_14,1377,399,0,0,0,379,0,0,0,0,418,0,0,0,0,0,0,0,3187,0,0,0,468,0,2291,0,0,0,0,6945,81,0,0,562,0,0,0,3910,81,4806,0,0,490,888,0,64,436,0,0,0,0,0,0,0,0,0,2970,118,3031,0,0,191,0,254,0,0,1187,0,3152,1104,0,0,0,258,676,0,0,0,0,0,999,0,0,913,0,50,0,3820,0,2085,0,0,2632,389,0,2839,0,0,0,233,0,369,1760,0,0,187,0,3839,1593,67,0,0,26,0,0,34,1403,0,268,890,0,0,3569,0,0,2824,0,0,0,1958,1590,1387,0,0,804,0,0,0,0,0,845,0,2721,0,0,125,3733,1917,0,0
SAMPLE_15,0,0,267,0,0,0,2193,0,286,1051,0,458,0,0,812,448,0,886,2565,406,0,1585,249,1941,2747,0,16,1142,4293,4109,0,139,348,1416,5755,1328,580,364,0,1009,0,98,0,0,0,0,690,677,1385,1970,0,621,2150,26,0,0,370,0,1385,369,255,0,1637,5,283,0,594,0,4242,2785,0,0,0,0,0,14,0,0,0,0,0,1168,855,0,4219,0,1522,149,464,932,0,0,0,0,1900,624,0,0,0,0,2782,0,0,0,0,3484,2044,176,0,0,0,0,4203,1302,0,0,1033,1491,0,0,0,522,2555,0,0,0,0,5408,0,0,0,0,1590,0,481,1248,0,290,3131,0,708,0,0,0,0,0,0,520,6074,0
SAMPLE_16,0,32,1122,0,1950,0,3551,0,0,0,0,0,0,1179,0,0,0,0,0,119,0,0,650,0,1501,0,37,0,4385,7747,72,0,0,1034,292,2645,0,0,0,0,0,0,0,231,191,0,0,1378,512,1660,0,0,0,0,0,0,296,0,0,446,208,0,0,319,1451,0,131,34,0,3209,541,181,0,1704,0,0,2348,161,0,0,0,0,487,503,0,3137,358,0,3460,2666,1630,0,0,3483,0,0,32,0,0,0,5828,3206,0,0,653,352,0,0,0,1188,0,0,0,1106,0,164,0,0,0,0,0,0,1134,761,962,1200,0,0,0,0,0,0,0,0,0,38,0,2095,152,232,42,0,2280,2707,22,0,0,0,436,147
SAMPLE_17,1438,816,0,0,0,0,768,0,2178,0,204,0,0,0,2400,189,0,0,0,0,0,0,753,0,0,0,202,0,3122,8492,44,0,1520,1773,2631,0,0,0,0,0,0,1376,0,0,0,0,220,1162,0,0,0,0,0,0,0,0,0,0,1191,0,0,582,0,0,0,83,0,1045,0,1529,302,0,0,0,2629,0,0,1641,1051,100,0,0,0,3500,0,395,0,788,0,1293,0,285,0,0,2416,0,0,0,0,517,3367,514,691,386,1168,346,0,7319,0,1642,0,0,0,0,0,0,956,1781,3420,408,0,0,1939,1775,0,4348,0,1481,0,2707,2124,0,0,2602,0,499,1058,3008,1432,0,0,0,0,0,0,1377,0,0,0,0
SAMPLE_18,0,328,0,0,0,1038,1456,0,1571,0,0,2592,0,0,2607,121,0,0,0,213,0,3835,0,1632,0,147,0,0,0,4493,395,0,164,1068,2239,1426,0,0,0,494,0,0,673,0,0,0,2021,716,1576,0,0,0,1883,368,0,2,0,0,0,0,0,0,335,0,0,0,0,160,2712,0,0,648,0,0,0,3776,3317,0,0,0,2251,0,820,664,0,0,0,0,0,0,0,502,0,1584,2455,1439,19,0,0,127,305,0,0,0,354,174,3299,0,549,0,0,0,3069,0,2264,0,0,1665,0,0,10,0,1384,3525,582,0,0,0,0,0,0,0,723,4347,0,566,2634,0,0,43,0,0,5706,1965,0,0,0,243,4903,0
SAMPLE_19,0,0,0,0,3074,0,0,0,205,0,156,0,0,0,0,0,313,606,1650,195,316,2392,0,0,2375,0,0,111,1984,4336,0,0,0,0,0,3866,444,3678,0,3979,799,20,543,0,1644,41,1825,606,0,188,0,0,0,0,0,182,409,107,0,0,0,0,0,0,2696,2033,0,1338,1461,4115,0,0,11,0,0,0,0,0,0,592,0,5807,1301,0,2198,821,0,1298,5457,9,14,1204,0,0,0,999,0,0,1142,184,1700,0,579,0,0,337,2284,0,0,0,267,2068,0,0,3460,0,0,1814,2003,1070,0,0,1315,0,0,0,0,0,0,847,0,194,1346,2945,653,0,1986,743,0,0,0,0,0,0,0,328,0,0,0,0
SAMPLE_20,0,0,0,0,0,0,0,0,1860,0,0,0,0,249,0,372,0,296,0,0,0,89,0,1516,1014,1043,59,3590,2339,6447,0,31,0,0,0,0,0,5302,0,2797,0,239,170,0,255,0,2580,1409,1189,5868,2420,0,0,136,331,0,0,0,1172,0,0,20,0,222,0,0,0,0,0,1756,0,0,0,2551,0,0,989,3761,753,332,0,0,292,771,1139,0,1123,0,1320,4982,0,0,0,0,836,0,0,335,0,0,0,4349,0,0,322,0,0,3042,62,692,0,0,0,0,0,0,1561,0,1071,4214,29,0,1885,1148,175,0,0,4843,0,985,0,0,0,0,0,705,2035,513,3173,0,156,489,78,0,90,0,0,0,872,449
SAMPLE_21,468,835,0,0,1727,234,0,859,0,0,0,475,0,437,0,364,0,1394,0,0,0,0,1325,0,1993,0,0,3475,0,0,83,33,0,0,1818,1979,947,0,0,2447,110,0,328,2579,2176,0,0,0,0,0,0,0,2763,2387,0,0,0,763,0,0,64,571,0,0,0,0,422,2553,4471,4364,0,893,0,425,0,0,0,0,0,613,0,0,0,0,2940,0,1663,0,0,2647,843,238,0,1883,0,899,0,0,505,0,550,4554,0,0,0,5475,2262,0,0,0,0,0,884,0,3236,0,0,1486,460,7086,525,0,3578,1163,0,0,1534,0,0,0,0,708,0,2945,0,18,0,0,2225,0,0,0,802,0,637,1863,0,527,0,0
SAMPLE_22,457,0,0,217,0,916,1079,0,0,282,33,0,0,0,968,556,742,883,5552,190,0,2577,246,1578,1066,0,0,0,1727,5057,0,0,919,0,2406,402,4765,884,0,969,0,420,0,0,0,0,0,250,0,0,2454,4802,1960,0,0,93,2287,0,0,792,475,0,0,177,0,938,0,326,794,780,599,0,0,0,49,0,0,0,0,1152,0,0,1736,1240,0,97,0,2178,1753,0,0,1010,2984,0,0,0,110,0,1630,0,1982,0,1758,51,0,0,0,2019,0,1429,0,163,0,1443,0,0,0,2349,1750,896,0,0,1235,2931,0,4392,0,2631,0,5174,0,0,122,2635,0,0,0,3393,0,0,0,0,0,2141,133,284,0,147,242,682
SAMPLE_23,0,0,0,1108,769,0,0,0,385,39,119,0,0,0,1283,0,0,815,1708,0,0,972,1030,463,0,0,321,0,0,766,0,94,0,0,1030,37,824,1462,0,0,210,0,142,2075,0,0,0,865,2060,3253,5131,0,0,0,1354,304,0,338,0,0,0,786,2260,0,0,0,0,575,0,860,0,0,110,0,0,3374,288,1891,0,0,5776,5111,0,0,0,1868,0,0,3524,1509,0,0,2468,0,3441,0,0,0,0,307,0,0,0,71,0,1249,0,0,1323,3295,19,160,4145,0,0,208,4337,3010,0,1648,0,0,2058,672,831,0,0,2272,0,4023,0,1426,0,4359,0,0,0,0,0,0,214,0,7911,0,538,546,0,0,0,443
SAMPLE_24,1562,1684,0,0,2271,578,0,0,303,0,0,0,32,116,0,588,0,0,1833,171,1398,1524,0,689,0,0,470,0,1532,4136,772,0,84,489,0,938,0,3601,131,3361,3615,0,0,0,0,0,1363,0,0,5078,2339,0,3396,783,977,0,0,0,770,0,0,0,1510,449,1146,65,0,0,2391,0,0,2143,0,27,0,0,0,2084,0,0,0,0,0,5136,4939,0,2507,0,4743,388,536,0,3959,510,0,0,129,332,4929,548,0,0,0,58,456,1641,0,707,233,800,0,396,0,0,0,0,3772,5328,0,2242,0,3242,0,1179,0,0,0,0,0,2200,0,0,0,0,4267,778,746,0,7703,0,373,55,3780,2707,110,1825,0,0,3874,0
SAMPLE_25,1276,0,0,115,588,720,0,0,0,263,0,262,0,108,370,235,0,0,1771,645,0,0,424,0,0,0,0,0,7106,6657,0,370,0,1035,221,0,2889,2554,0,474,64,0,0,0,467,0,0,50,134,0,0,0,0,0,0,2427,735,186,0,1663,916,0,0,0,0,0,1784,2045,0,3785,812,0,0,0,0,0,0,0,0,2483,0,0,2416,0,0,0,0,0,1182,0,0,0,1252,5241,0,0,0,654,0,286,10196,0,416,0,698,1930,466,0,0,272,519,1067,383,344,2001,0,4193,0,571,2529,117,0,794,0,0,1502,735,1739,0,1617,0,0,295,0,0,0,0,0,0,792,0,0,0,0,0,785,0,0,2297,0
SAMPLE_26,1055,1214,0,0,0,0,3402,0,0,336,71,0,190,0,1655,379,0,373,3469,0,0,310,0,1052,0,0,45,994,2489,558,180,165,0,28,0,1866,0,0,351,0,918,0,0,278,0,29,672,106,1554,1398,899,1115,0,129,0,0,0,0,207,135,0,0,0,0,0,0,331,403,0,0,364,84,0,0,2241,0,0,0,0,74,0,0,0,1944,359,0,0,3835,0,0,0,0,1174,213,0,0,0,513,23,0,1934,0,0,181,64,0,0,1005,0,0,0,0,0,2204,0,2,2160,0,0,0,0,0,0,0,395,0,0,7123,0,4570,712,0,1512,0,0,0,2,544,2706,0,0,0,0,0,0,109,3172,222,0,0
SAMPLE_27,0,0,1543,0,0,227,0,0,0,0,809,38,0,2073,0,0,0,0,4620,0,1922,1477,0,0,0,0,0,0,0,4749,0,0,0,0,4829,254,842,667,0,2016,628,0,655,0,0,0,0,0,0,3053,1034,0,0,95,240,0,0,514,2434,0,134,0,0,0,0,0,0,1105,1042,1411,0,9,0,1295,0,0,0,0,0,2569,0,0,367,1786,2313,0,184,1092,1391,0,0,0,0,1019,0,584,27,446,2517,183,0,2198,2083,0,0,2064,0,0,0,1599,0,321,0,1539,1468,0,1251,523,0,0,0,0,601,0,0,1523,0,4813,0,1744,306,1315,1263,0,1106,0,0,0,0,0,166,0,262,0,326,1050,0,1456,2879,183
SAMPLE_28,0,0,1172,131,0,622,0,532,0,0,0,0,0,1197,0,0,2803,0,1229,628,631,0,61,1091,2837,279,0,3132,4507,0,0,0,0,0,1245,0,0,0,0,0,333,2526,0,0,0,464,0,0,1073,4445,6974,1403,1423,2784,0,0,1654,545,2509,0,0,16,4155,510,0,0,0,0,705,1765,249,1775,459,0,0,0,0,0,0,97,5456,0,0,0,0,0,0,0,2488,2692,0,0,0,307,174,489,0,0,0,52,2362,0,0,0,0,7105,0,4418,0,441,0,0,0,0,1842,0,1504,1102,2037,3313,0,0,0,1416,268,0,0,1913,0,3481,0,530,0,0,0,0,1055,3388,2291,0,0,0,1158,0,18,0,0,0,3836,226
SAMPLE_29,432,0,0,0,0,0,1802,35,0,0,128,0,0,1859,0,303,0,1241,1068,62,2555,0,0,0,934,0,0,2127,0,1851,0,0,1,0,1323,379,0,0,0,498,0,1271,0,460,0,0,0,110,0,721,2291,598,0,0,0,0,0,814,3368,0,61,0,0,0,0,0,257,534,1449,208,0,0,0,0,0,0,654,0,0,2,0,2835,0,1457,0,281,0,0,2870,0,0,0,0,1794,0,0,164,0,0,0,3757,1544,2573,0,719,1631,2460,2419,803,357,117,0,164,0,4269,97,0,1192,0,0,817,0,1754,0,140,6650,0,2671,0,0,0,0,1354,0,0,1684,0,0,644,435,0,530,0,0,355,0,0,0,0,819
SAMPLE_30,1140,0,0,400,0,166,0,0,1193,729,0,137,0,0,2170,816,0,2336,0,0,0,1899,2117,763,323,0,118,1210,2381,0,0,405,0,0,3192,0,0,0,0,4190,699,171,0,0,0,0,0,854,0,0,2453,580,1454,0,0,0,0,0,0,0,0,0,0,0,0,2273,0,0,3755,4289,0,78,0,0,0,0,1209,1580,0,0,0,7230,2330,0,2752,0,899,0,7057,0,0,1497,6516,4036,0,0,359,0,0,340,0,1552,0,0,0,2551,2820,429,529,2245,0,0,0,0,3345,34,0,3201,0,0,0,1165,3514,0,2164,1012,0,7166,0,0,454,1135,2164,0,1154,0,1289,685,648,2209,0,172,0,2317,452,0,1236,0,0,0
SAMPLE_31,0,0,0,0,0,0,4674,0,0,0,0,18,0,947,1301,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,1613,0,268,902,0,2237,0,0,406,0,0,91,0,0,4104,0,0,0,1108,929,0,681,0,372,902,685,0,4327,105,510,0,37,0,0,39,0,0,0,1401,684,5752,0,651,0,0,353,0,1346,2602,428,0,0,6691,709,0,6633,0,1109,0,0,3103,0,1153,0,0,0,3121,111,2379,0,214,0,2771,0,0,180,2452,0,0,0,1143,0,0,4278,2045,1453,36,0,2493,409,1006,0,1379,883,583,0,0,0,0,0,313,356,418,225,0,0,0,1027,0,0,0,0,38,2567,0,0,0,0,338,1301,0
SAMPLE_32,0,1103,835,1387,887,0,4227,726,568,0,395,0,0,1590,0,0,0,0,0,0,2499,591,0,165,0,0,0,1707,3079,0,734,0,0,394,1999,0,0,0,0,2670,1614,2182,160,0,0,0,0,647,20,2186,0,0,4460,0,0,0,561,0,0,0,0,0,1512,654,0,0,312,0,465,6880,0,1144,0,0,2569,0,0,550,0,384,0,0,749,2676,0,0,4347,0,583,1806,0,0,1759,3441,0,0,253,0,1673,200,0,0,81,0,773,0,0,0,0,0,259,554,345,408,0,500,0,0,3703,1429,0,0,0,0,330,0,0,0,0,2302,0,1786,0,3765,2928,0,0,723,1959,0,0,0,0,0,450,0,0,1325,0,0
SAMPLE_33,0,213,1854,290,0,0,1070,0,0,0,0,0,0,0,476,150,0,42,0,0,0,723,393,2721,2831,0,0,874,1962,0,0,165,0,0,3798,0,3537,0,359,2457,0,855,0,0,0,0,0,491,0,0,0,483,0,0,0,0,253,444,0,0,223,0,0,0,0,0,0,0,223,0,0,0,295,1131,121,0,112,0,226,961,4057,8646,2197,0,0,601,820,0,987,1651,0,941,0,2099,215,0,0,1434,0,234,3401,6460,0,0,1065,1070,920,2147,1578,1788,0,0,3021,0,2111,83,0,0,1619,0,35,0,4317,358,705,1967,0,6268,0,0,0,323,0,1488,1133,0,0,0,2427,0,310,0,657,446,0,574,0,0,3085,0
SAMPLE_34,0,0,0,289,0,0,0,0,0,0,240,586,0,354,0,110,0,2237,1328,0,0,1150,354,3124,0,0,0,981,0,3280,0,97,0,432,1740,0,0,0,7,3833,0,0,537,0,0,0,853,759,375,143,0,0,1789,1804,0,0,239,0,3047,0,49,0,0,0,0,0,0,1115,0,0,1105,0,0,0,0,948,0,0,0,1227,410,0,1596,3091,0,1198,0,5002,41,72,0,1983,0,1306,0,1729,0,0,1061,100,1381,2366,0,0,0,2823,0,0,1365,0,0,869,0,0,2906,0,0,1942,0,1399,0,0,2990,2104,1126,2462,0,125,0,1178,1109,512,0,0,0,2511,125,1475,0,0,0,0,0,0,0,1363,3553,0,791,0
