,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116
SAMPLE_11,0,0,0,0,0,0,0,0,743,0,4268,0,459,0,126,48,87,1812,4173,0,0,0,0,0,0,2193,0,319,2741,6406,6932,509,0,1040,0,283,85,0,123,252,306,27,812,42,2569,713,313,0,1172,0,0,0,0,0,0,0,0,0,0,0,10,553,14,4699,0,845,817,0,1034,2357,473,7,3,12,0,0,0,0,724,0,0,2,4104,0,4899,659,1041,3179,0,3067,1184,503,26,274,644,640,0,0,0,496,3285,0,386,135,275,1304,2434,276,0,0,0,0,0,0,35,0
SAMPLE_12,0,0,0,0,0,0,0,0,630,0,4877,3689,193,0,3664,1463,2228,629,3820,0,0,0,0,0,0,0,0,0,1429,3923,3628,68,4,204,19,65,51,0,62,249,0,0,0,0,0,0,0,0,301,0,0,0,16891,4164,0,0,556,272,93,394,31,0,75,0,0,0,6200,0,3613,1076,566,6,40,0,22,0,0,0,0,196,442,0,2992,0,2851,6,0,59,0,94,46,0,61,726,0,1517,622,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2143,798,1287,0,0,136,2025,0,0,0,0,0,0,0,2443,6589,6315,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,0,0,0,0,72,82,177,829,0,190,16,0,316,0,2032,66,0,0,1148,0,0,0,2,2,12,0,0,0,0,0,735,308,0,3353,0,4155,609,947,2827,0,2603,1060,229,170,1701,940,3589,1016,0,0,411,2918,0,352,129,219,1200,2135,299,0,91,22,332,197,291,20,0
SAMPLE_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2536,5216,0,0,0,0,25,288,120,0,7,735,2136,0,0,0,227,0,73,54,0,82,294,0,0,0,0,0,0,0,0,334,0,0,0,19222,4706,0,0,880,492,298,460,34,35,81,177,0,0,7166,0,4100,1275,579,5,27,5,29,0,0,0,0,272,490,0,3400,1,3292,0,0,1,0,0,0,0,0,0,0,0,0,0,0,317,2301,0,344,0,399,764,3633,341,0,64,7,69,32,12,1714,0
SAMPLE_15,0,38,436,933,109,367,0,108,1022,0,5573,1104,454,0,6,0,1,1513,3307,0,1698,2358,207,1196,0,2586,0,342,2676,6331,6749,446,0,1057,0,305,85,0,114,235,310,29,821,26,2514,801,210,130,1122,0,0,0,0,40,45,0,1421,781,483,0,9,321,9,2212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,270,0,0,448,3111,0,380,128,256,1311,2311,310,0,108,33,373,240,350,26,0
SAMPLE_16,0,47,526,1097,132,438,0,0,1128,0,6314,1174,529,0,101,35,50,2126,4754,0,791,0,0,0,0,0,0,0,0,0,0,0,0,1215,0,309,87,0,140,295,361,25,967,40,2996,910,248,169,1296,3196,186,0,0,41,69,0,1633,898,496,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943,408,0,4316,0,5323,762,1149,3485,0,3441,1367,587,29,329,723,732,0,0,0,523,3694,0,436,140,288,1401,2817,404,0,113,33,415,270,377,47,0
SAMPLE_17,617,50,121,82,41,32,0,44,0,46,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,1,76,62,0,86,296,0,0,0,0,0,0,0,0,348,0,0,0,20135,5077,0,0,879,492,286,423,45,44,100,192,0,0,0,0,0,0,0,0,40,0,17,0,0,0,0,235,583,0,3473,36,3345,31,0,38,0,0,0,69,15,170,36,336,0,0,0,274,2384,27,267,129,444,1180,4133,482,0,69,12,114,35,15,2210,1113
SAMPLE_18,0,48,0,803,0,364,0,101,954,0,5104,945,399,0,261,122,168,1665,4071,0,1354,2215,235,1149,0,2730,0,327,2592,6359,6883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,1771,0,0,0,0,0,0,0,0,0,0,0,144,5,0,544,0,4514,0,791,752,2,1040,2333,427,8,1,17,0,0,0,0,0,787,336,0,3665,0,4742,645,1054,3118,0,2934,1164,484,32,293,634,110,0,0,0,0,2837,0,0,46,230,977,2280,228,0,39,0,14,0,0,30,0
SAMPLE_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2961,2462,289,1222,0,2689,0,387,0,0,0,490,0,1100,0,292,72,0,129,287,303,29,838,31,2584,815,219,168,1231,3032,169,0,0,0,0,9,1436,758,426,16,0,573,0,4590,0,866,851,0,1046,2394,474,4,0,0,0,0,0,0,0,851,358,0,1771,991,0,0,0,0,0,0,0,0,170,1891,1070,3610,1155,0,0,475,3346,0,359,153,282,1437,2476,342,0,113,26,385,239,338,31,0
SAMPLE_20,0,0,0,0,0,0,0,0,605,0,4983,3789,226,0,3865,1429,2337,682,3973,0,0,0,0,31,256,76,0,2,1499,3961,3709,82,0,232,0,76,40,0,90,293,0,0,0,0,0,0,0,0,310,770,0,2155,0,458,0,0,680,304,108,430,33,0,85,46,0,0,6175,0,3713,1130,568,4,38,0,24,0,0,0,0,221,446,0,3033,2,2924,3,0,38,0,75,0,0,0,725,199,1786,528,37,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_21,215,39,96,53,22,0,0,0,542,0,4297,3363,205,0,3419,1254,2040,611,3411,0,0,0,0,23,238,106,0,6,1240,3405,3208,0,127,2,279,15,39,0,78,232,0,0,0,0,0,0,0,0,297,728,0,1882,0,390,0,0,603,356,223,350,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,2739,0,2569,11,0,55,0,90,127,113,0,0,0,0,400,0,0,0,1609,0,0,0,0,0,0,0,0,6,14,68,11,9,1351,0
SAMPLE_22,0,0,0,0,0,0,0,0,215,0,1182,238,0,0,1950,760,1137,0,1865,0,1532,1903,199,0,0,1170,0,0,2179,5952,5536,381,0,866,0,224,58,0,116,184,238,21,682,26,1987,644,161,116,926,0,0,0,0,35,40,0,1240,541,354,10,0,405,0,3680,0,699,685,0,810,1939,385,6,6,19,0,0,0,0,0,0,0,0,3400,0,3806,536,827,2485,0,2347,957,390,23,222,493,118,0,0,0,343,2653,0,299,64,19,176,0,0,0,0,0,0,0,0,0,0
SAMPLE_23,0,0,337,769,84,319,0,93,781,0,4377,882,313,0,455,160,306,1509,3697,0,1231,2169,231,1017,0,2392,0,298,50,0,215,430,0,889,0,247,77,0,112,211,276,17,713,33,2379,701,175,141,1008,2557,141,0,0,25,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,318,0,3372,0,4301,583,912,2785,0,2681,1142,416,24,271,596,101,0,0,0,0,2720,0,316,111,237,1149,2139,243,0,0,0,0,0,0,0,0
SAMPLE_24,0,35,388,827,118,341,0,116,898,0,4836,1001,450,0,0,0,0,1349,3225,0,849,1331,0,734,0,1528,1067,0,0,0,0,401,0,876,0,216,0,44,31,0,599,15,623,28,0,0,0,0,0,0,0,0,0,58,76,125,862,0,188,12,0,489,0,4004,0,616,0,1179,0,0,0,5,2,7,0,0,0,0,0,730,277,0,3210,0,4111,582,922,2692,0,2520,1037,451,0,0,0,78,168,0,0,406,2823,0,356,118,214,1160,2132,211,0,0,0,0,0,0,29,0
SAMPLE_25,0,49,383,782,112,327,0,95,906,0,4980,967,452,0,9,1,8,1580,3594,0,1286,1999,218,1021,0,2324,0,286,2291,5689,6064,400,0,909,0,258,69,0,90,232,182,0,0,0,2214,639,208,143,1014,0,0,0,0,37,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,313,0,3227,0,4157,630,899,2799,0,2588,967,423,29,247,572,108,0,0,0,0,0,0,0,0,0,454,1613,112,0,74,35,316,194,249,30,0
SAMPLE_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,942,1555,941,4082,0,1449,2460,241,1177,0,2913,0,366,0,0,234,469,0,978,0,0,0,0,0,0,0,0,0,0,2689,811,219,155,1253,3108,174,0,0,46,49,0,1570,832,488,21,0,582,0,4812,0,897,869,5,1094,2400,469,9,2,24,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,41,314,651,151,0,0,0,517,3494,0,400,144,282,1417,2495,328,0,113,23,397,220,337,0,0
SAMPLE_27,0,0,302,885,96,359,0,95,989,0,5660,1096,490,0,7,0,0,1883,4332,0,1407,2271,236,1136,0,2781,0,321,2721,6330,6960,503,0,1030,0,265,0,0,0,0,0,0,0,0,0,0,0,0,1198,0,0,0,0,30,55,0,1474,790,459,50,0,49,0,0,0,0,915,0,1015,2324,503,4,4,19,0,0,0,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,3107,0,383,134,241,1309,2354,331,0,97,26,353,245,311,26,0
SAMPLE_28,0,44,426,864,120,342,0,109,22,0,0,0,0,0,0,0,0,0,0,0,0,683,24,754,0,2279,0,283,2439,5889,6168,472,0,988,0,243,0,0,0,237,150,0,593,26,2353,719,183,138,975,0,0,0,0,0,0,0,0,162,183,10,0,526,0,4094,0,742,720,1,990,2005,413,8,3,14,0,0,0,0,0,656,0,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,1220,0,0,417,2973,0,318,127,234,1180,2207,306,0,99,37,359,222,286,27,0
SAMPLE_29,613,39,102,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,546,75,151,257,184,0,2,1577,4248,3843,0,168,0,333,11,52,0,100,299,0,0,0,0,0,0,0,0,321,0,0,0,18462,4607,0,0,828,477,266,422,0,0,0,0,0,0,0,0,0,0,337,2,25,7,0,0,0,0,0,202,487,0,3237,3,3118,7,0,74,0,99,48,0,74,877,200,1833,629,0,0,209,2187,29,245,114,472,1097,3878,459,0,71,9,102,28,17,2008,1087
SAMPLE_30,0,55,122,82,22,27,0,8,644,0,5383,4150,235,0,4212,1543,2482,725,4311,0,0,0,0,0,318,82,0,6,1622,4245,3983,78,0,195,0,67,54,0,93,301,0,0,0,0,0,0,0,0,371,0,0,0,18773,4704,0,0,606,0,39,0,0,0,0,0,0,0,0,0,0,2791,863,2,41,2,31,0,0,0,0,265,470,0,3264,0,3143,6,0,54,0,121,49,0,87,943,238,1842,626,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_31,604,51,99,73,32,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,229,563,82,150,260,190,0,4,711,1873,0,0,0,25,275,4,0,0,85,303,0,0,0,0,0,0,0,0,333,0,0,0,17989,4452,0,0,740,394,240,381,40,36,86,168,0,0,5944,0,3003,0,0,4,0,0,0,0,0,0,0,214,447,0,0,1114,245,0,0,41,0,97,70,0,0,0,32,171,0,0,0,0,1975,46,204,130,400,1952,3624,420,0,78,4,75,30,26,0,1026
SAMPLE_32,587,39,112,73,22,32,0,10,648,0,5238,3965,241,0,4007,1473,2539,720,4060,0,0,0,0,23,260,96,0,0,1541,4188,3858,46,60,116,152,40,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,17908,4523,0,0,754,419,275,420,41,16,85,0,0,0,3524,0,0,2697,833,3,29,1,28,10,68,76,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1594,560,0,0,332,2165,0,274,0,249,0,3000,0,0,0,6,0,6,0,1878,946
SAMPLE_33,0,54,419,944,0,383,0,94,1022,0,5581,1108,449,0,83,32,53,1798,4132,0,1403,2309,222,559,0,0,0,0,0,4263,2855,411,0,979,0,0,0,0,0,0,0,0,0,0,2487,737,0,144,1159,6,0,0,0,29,49,0,1482,781,484,10,0,565,0,4505,0,958,0,0,0,2286,456,4,7,16,0,0,0,0,0,0,0,0,0,0,0,0,1113,0,0,2988,1189,531,29,254,622,144,0,0,0,463,3311,0,391,0,202,850,2288,184,0,37,0,0,132,228,25,0
SAMPLE_34,593,44,112,80,37,18,0,9,666,0,5024,3876,245,0,3918,1474,2416,682,4107,0,0,0,0,0,0,0,0,0,0,1584,0,74,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,887,541,0,1705,0,0,6639,0,3808,1155,522,2,27,3,19,0,0,0,0,204,486,0,3146,0,2967,9,0,47,0,103,61,0,79,802,199,1811,655,0,0,238,2009,22,229,122,394,1001,3624,437,0,56,7,77,39,18,1874,999
SAMPLE_35,378,47,71,0,21,0,0,0,616,0,5189,4001,218,0,4066,1468,2445,698,4279,0,0,0,0,21,261,125,0,0,1540,4366,3845,0,173,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,18105,4572,0,0,803,434,294,0,831,639,959,2802,0,0,0,43,1869,1674,635,2,35,2,29,10,73,62,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,673,0,0,314,2147,0,446,92,0,0,0,0,0,0,19,52,14,4,1573,0
SAMPLE_36,0,0,0,796,0,325,0,124,36,0,0,0,0,0,2505,926,1443,933,3925,0,1474,2445,255,1193,0,2818,0,324,2790,6778,7286,481,0,1102,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,35,53,0,0,0,0,16,0,554,0,4798,0,874,814,0,1111,2440,500,5,8,21,0,0,0,0,0,872,339,0,3928,0,4942,698,1098,3344,0,3087,1304,558,0,0,575,0,0,0,0,518,3319,0,402,113,227,1479,2458,487,0,503,1274,2673,1663,901,33,0
SAMPLE_37,0,0,0,0,0,0,0,0,0,25,386,0,20,0,4602,1716,2827,509,4082,0,0,0,0,17,276,120,0,2,1548,4394,3942,0,170,0,376,13,47,0,80,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,425,274,404,30,31,86,164,0,0,6618,0,3970,1257,564,0,29,0,18,0,0,0,0,212,495,0,0,1112,0,1010,190,1992,0,126,49,0,68,871,205,1815,592,0,0,194,2250,26,232,112,447,1271,3613,428,0,52,0,49,5,9,1654,30
SAMPLE_38,0,0,0,0,0,0,0,0,928,0,5781,1120,458,0,15,5,16,1870,4396,0,1458,2321,233,1204,0,2747,0,298,2751,6585,7122,497,0,1071,0,275,16,0,28,0,641,0,0,0,2541,793,222,142,1157,0,0,0,0,0,0,0,1550,829,414,20,0,549,0,4662,0,829,825,5,1114,2332,454,0,0,0,0,0,0,0,0,711,0,0,4381,0,4801,0,0,0,0,2982,1268,545,0,0,598,0,0,0,0,0,2995,0,371,0,0,0,0,0,0,58,43,346,231,303,36,0
SAMPLE_39,564,48,86,58,26,30,0,6,611,0,4808,3765,225,8,3877,1469,2208,683,3934,0,0,0,0,20,269,94,0,6,1454,3955,3765,55,65,131,108,46,45,0,91,283,0,0,0,0,0,0,0,0,320,0,0,0,4948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,438,0,2858,18,2864,20,0,87,0,100,152,113,0,0,187,1561,557,27,7,0,0,0,0,0,0,0,2637,3,0,7,16,56,18,8,1822,986
SAMPLE_40,0,46,413,897,123,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,23,819,0,2378,0,310,2529,6030,6359,465,0,1003,0,227,43,0,64,230,0,0,0,0,0,0,0,0,1104,0,0,0,0,0,0,0,1444,735,392,12,0,500,0,4387,0,886,0,0,0,0,0,3,3,15,0,0,0,0,0,727,343,0,3488,0,4325,613,918,2858,0,2773,1124,249,199,1772,919,3576,1008,0,0,432,2907,0,369,126,246,1227,2247,308,0,104,27,363,194,311,0,0
SAMPLE_41,0,47,415,890,109,355,0,107,888,0,5039,990,432,0,221,69,115,0,0,131,2534,0,122,621,0,2327,0,295,53,0,261,442,0,987,0,249,66,0,127,238,296,26,724,29,0,0,4,0,1133,2669,166,0,0,45,42,0,1401,703,446,20,0,596,0,4338,0,601,0,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,0,0,435,3062,0,354,84,244,1228,2309,306,0,73,28,208,0,218,26,0
SAMPLE_42,0,52,498,1026,148,426,0,130,0,0,5145,1058,489,0,187,66,134,1900,4635,0,1506,2451,273,1342,0,2890,0,369,50,0,276,533,0,1133,0,295,49,0,76,262,0,0,0,0,2767,883,229,176,1351,3220,191,0,0,42,63,0,1648,897,473,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,310,733,130,0,0,0,527,3492,0,440,132,291,1419,2605,348,0,111,30,463,214,330,32,0
SAMPLE_43,617,43,129,84,40,24,0,6,678,0,5529,4335,244,0,4374,1595,2658,0,2540,0,0,0,0,29,282,84,0,6,1756,4585,4167,91,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,19819,5013,0,0,894,489,266,399,36,0,0,0,0,0,0,0,0,2947,939,1,34,4,25,0,0,0,0,271,515,0,0,1128,0,769,0,1093,0,120,65,0,89,962,208,2047,676,0,0,253,2317,19,261,132,481,1004,3992,0,0,8,25,63,20,5,2012,1094
SAMPLE_44,0,0,0,0,0,0,0,0,693,0,5312,4050,274,0,4106,1439,2458,0,2351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,216,29,11,56,3,0,4,0,0,0,0,0,0,0,319,0,0,0,18531,4664,0,0,823,453,265,411,27,30,85,191,0,0,6712,0,3929,1245,569,2,38,5,21,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462,634,0,0,289,2206,0,0,68,442,1034,3677,394,0,72,11,89,19,11,1667,18
SAMPLE_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4803,1687,2841,501,4154,0,0,0,0,16,292,109,0,0,1529,4403,3948,0,189,0,382,19,42,0,65,298,0,0,0,0,0,0,0,0,324,0,0,0,18783,4781,0,0,0,117,116,460,35,18,0,62,0,0,6779,0,3815,0,316,0,22,2,30,0,0,0,0,236,495,0,3241,5,3094,3,0,9,0,0,130,118,0,0,0,0,456,0,0,225,2185,14,241,125,463,2078,3749,453,0,58,0,0,0,0,0,0
SAMPLE_46,0,33,348,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,33,813,0,2333,0,317,59,0,262,487,0,1000,0,276,78,0,118,252,273,33,753,34,2435,774,209,128,1125,2726,160,0,0,46,38,0,1404,690,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,336,0,3581,0,4454,620,965,3040,0,2878,1193,361,95,1176,0,2359,1302,0,0,460,3098,0,360,147,232,1274,2188,329,0,102,24,360,200,306,33,0
SAMPLE_47,0,0,0,0,0,0,0,0,0,0,0,2885,0,0,4443,1652,2715,0,0,0,226,539,80,145,248,122,0,5,1526,4108,3604,58,23,166,49,75,43,0,72,290,0,0,0,0,0,0,0,0,316,0,0,0,17483,4340,0,0,778,454,242,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,13,0,0,0,0,259,453,0,3074,0,2954,10,0,57,0,100,65,0,89,819,192,1667,561,0,0,260,2108,36,210,125,449,1876,3625,400,0,71,9,80,21,0,0,0
