,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116,TAXA_117,TAXA_118,TAXA_119,TAXA_120,TAXA_121,TAXA_122,TAXA_123,TAXA_124
SAMPLE_11,0,0,0,0,0,0,409,409,0,2746,221,257,0,2157,0,0,0,0,58,24,43,44,36,72,0,0,0,2150,0,0,2,0,229,0,75,0,0,3838,0,466,0,3280,0,0,47,45,0,11,1,0,0,0,0,283,379,464,0,0,0,860,2278,0,0,0,0,0,498,18,593,12,33,48,0,0,0,0,0,0,0,0,3,2079,686,0,212,205,503,0,0,476,0,572,437,241,397,146,1343,0,673,2172,0,438,0,710,0,461,37,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_12,1736,86,118,73,0,479,814,0,13,0,96,1,5,66,0,0,1156,0,120,88,269,106,179,171,57,92,0,0,3657,1345,0,0,1443,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954,2787,768,0,1,5,0,0,1972,3149,0,0,0,0,0,0,0,0,0,0,0,7,9,3,543,761,4479,2705,0,0,196,415,989,2371,420,2960,0,1434,0,1032,0,1170,110,375,0,973,4352,0,257,0,237,0,318,1856,0,0,0,0,0,12,8,6,8,44,101,0,0,397,139,948,172
SAMPLE_13,2079,125,154,94,0,561,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,279,0,179,622,15,329,0,321,0,2689,0,0,1040,1479,733,191,755,0,55,1117,3386,886,0,1,4,0,0,2400,3630,61,124,2437,127,388,260,26,10,8,0,0,0,0,0,0,0,3978,2983,0,0,198,486,1192,2666,468,3506,0,1669,369,1749,1784,2435,0,655,0,1246,5562,0,299,0,304,0,331,2114,0,0,0,0,15,0,0,0,22,88,132,0,0,465,160,1051,219
SAMPLE_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4894,1838,0,0,23,198,1302,0,185,630,24,355,0,373,0,2989,0,0,1128,1615,748,204,831,0,53,1225,3644,948,0,1,3,0,0,2547,3983,51,15,2761,122,449,281,25,8,17,0,0,11,12,1,708,972,6026,3473,0,0,269,510,1309,3007,498,3911,0,1839,367,1947,1935,2688,0,727,0,1334,5832,0,314,0,344,0,459,2313,35,0,0,0,17,0,0,0,0,0,128,0,0,0,0,0,0
SAMPLE_15,2270,124,154,104,0,610,990,0,0,0,0,0,0,0,0,0,0,1896,0,39,341,115,227,191,50,0,0,0,4077,0,0,0,817,210,707,0,68,211,5,125,1392,0,0,3002,0,0,1109,1535,699,189,845,0,61,1161,3490,1026,0,3,6,0,0,2169,3977,52,82,2582,113,405,303,38,6,17,0,0,11,5,2,683,913,5663,3447,0,0,246,502,1243,2811,513,3887,0,1761,353,1883,1805,2507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,155,0,0,545,164,1213,244
SAMPLE_16,0,0,125,19,0,0,377,421,0,2771,240,810,0,0,3,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,1769,981,1990,0,0,2566,0,0,0,50,48,81,16,0,26,3,0,265,361,428,2,0,0,902,0,4982,8167,0,578,1546,423,255,757,16,30,45,32,25,80,277,12,0,0,3,1,2211,679,0,256,47,0,0,0,0,0,546,298,155,0,209,1264,0,0,1593,0,446,0,735,0,483,42,46,0,1029,0,0,1073,346,3139,398,334,0,0,0,0,0,0,0
SAMPLE_17,2030,103,0,0,36,8,0,0,16,0,94,4,0,56,0,0,34,1505,137,32,352,134,222,173,62,81,0,0,4220,1560,0,0,356,210,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1072,3253,849,0,0,5,0,0,2024,3704,0,45,2460,112,381,253,31,12,15,0,0,6,6,3,1021,0,4527,3083,0,0,241,434,1136,2669,441,3388,0,1643,333,1679,1578,2339,0,655,0,910,3986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,128,0,0,476,132,1034,195
SAMPLE_18,2380,131,0,0,0,0,1049,0,24,0,123,5,8,78,0,0,744,967,0,51,330,141,271,220,72,107,0,19,0,0,0,0,0,241,1367,0,184,666,19,416,0,357,0,0,0,0,0,8,19,98,49,0,13,1290,3839,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,1239,0,5328,3512,0,0,296,521,1359,3053,494,3798,0,1881,400,2025,1934,2708,0,775,0,0,4808,0,289,0,421,0,1403,0,98,0,0,0,13,0,0,0,13,59,144,0,0,523,200,1252,220
SAMPLE_19,356,13,0,0,0,0,342,330,0,2314,191,254,0,1881,0,0,23,0,0,23,29,37,29,56,0,0,0,1811,0,0,29,0,108,0,53,277,1861,1015,1632,0,0,2118,0,0,0,35,45,59,27,0,21,5,0,244,299,394,0,0,0,721,0,4149,6642,0,0,1465,403,248,660,12,27,50,25,24,62,221,12,0,132,890,1743,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1916,1345,0,560,0
SAMPLE_20,0,8,134,91,0,573,933,0,17,0,104,5,5,64,0,0,1329,0,126,85,314,165,225,159,0,58,0,0,3703,0,0,0,233,197,1063,0,175,581,13,327,0,294,0,2528,9,0,814,0,330,0,256,0,16,1061,3248,877,0,17,0,3,0,0,0,274,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,486,1139,2664,456,3467,0,1613,316,1771,1642,2311,0,656,0,1202,5096,0,277,0,271,0,350,2048,35,0,0,0,21,0,0,0,91,380,0,0,0,0,0,0,14
SAMPLE_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,0,0,3831,1408,0,0,575,174,652,0,146,505,13,317,0,303,0,2278,0,0,704,0,369,401,428,0,33,944,2861,829,0,21,0,3,0,2058,3188,117,386,1024,148,0,9,20,7,14,0,0,12,9,2,536,746,4660,2759,0,0,186,395,1039,2427,426,3132,0,1466,303,1551,1454,2082,0,571,0,1036,4543,0,249,0,271,0,404,1786,26,0,0,0,13,4,0,5,43,202,113,0,0,0,0,0,0
SAMPLE_22,0,0,0,0,0,0,0,0,0,0,100,2,5,72,0,0,162,1545,132,63,348,142,245,200,71,64,0,0,4651,1736,0,0,252,178,1153,0,202,578,18,345,0,347,0,2826,0,0,1115,1511,696,184,753,0,61,1182,3546,944,0,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,1743,522,0,0,1228,2484,453,3516,0,1748,346,1765,1768,2385,0,0,0,1162,5473,0,331,0,309,0,445,2212,19,0,0,0,0,11,8,5,0,0,122,0,0,0,0,0,0
SAMPLE_23,1464,55,125,94,0,514,791,0,17,0,87,1,3,65,0,0,1174,0,94,57,261,50,0,0,10,63,0,0,3864,1294,0,178,148,0,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,0,2,0,2117,3327,32,19,2151,98,360,266,36,0,12,0,0,9,5,2,0,92,0,2015,0,0,175,394,1017,2356,396,3124,0,1421,155,774,998,0,0,0,0,875,4541,0,240,0,270,0,331,1833,27,0,0,4,0,3,7,6,0,5,0,0,0,0,0,740,0
SAMPLE_24,362,17,0,0,0,0,305,416,0,2184,183,198,0,1853,0,0,0,0,48,19,30,28,44,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,0,3953,6568,0,544,1187,325,202,673,18,38,31,31,17,60,231,5,0,0,0,0,1713,561,0,181,177,378,0,0,369,0,508,381,236,338,131,1131,0,560,1862,0,342,0,555,0,386,46,48,0,880,0,0,842,268,2530,297,270,0,57,1834,1242,0,587,31
SAMPLE_25,455,29,0,0,0,0,0,571,0,2255,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,2132,0,0,4,0,198,0,58,0,1545,890,1796,0,0,2301,0,0,42,45,0,7,1,0,0,0,0,255,295,395,0,0,0,763,0,4386,7184,0,0,1576,403,263,648,19,31,50,23,17,65,213,0,0,0,62,136,1148,0,432,771,204,1131,247,1528,0,574,0,76,54,249,293,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2095,1387,0,682,41
SAMPLE_26,478,28,0,0,0,0,397,434,0,2786,220,295,0,2206,0,0,0,0,73,22,42,63,49,82,0,0,0,2275,0,0,3,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784,508,290,809,13,32,45,31,32,54,245,0,0,0,0,0,2126,683,0,214,243,475,0,0,466,0,562,472,305,362,155,1366,0,685,2261,0,447,0,751,0,433,42,58,0,1069,0,0,1037,333,3093,115,0,0,82,2199,1588,0,713,46
SAMPLE_27,0,0,0,0,0,0,0,0,0,2191,0,179,0,2086,0,0,0,0,57,13,51,41,35,61,0,0,0,0,0,0,0,0,0,0,0,476,2169,1145,1967,0,0,2254,0,0,3,0,37,53,26,0,15,1,2,0,118,38,48,0,0,799,0,4810,7518,162,604,898,445,0,595,11,26,55,23,30,59,281,11,52,193,1348,1932,0,0,901,760,103,581,0,0,479,0,606,406,267,388,116,1273,0,710,2146,0,399,0,693,0,504,44,108,229,0,467,0,1186,320,3049,336,1031,0,0,0,0,0,0,0
SAMPLE_28,315,17,87,41,0,208,350,0,0,1823,169,191,0,1785,0,0,0,0,55,21,45,36,22,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,47,55,19,0,26,3,0,208,287,338,0,0,0,676,0,3881,6191,48,289,23,0,21,0,9,31,49,28,20,56,227,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,518,365,233,341,146,1099,0,595,1814,0,359,0,613,0,385,31,43,0,813,0,0,804,268,2531,0,33,0,73,1804,1253,0,555,30
SAMPLE_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,0,0,0,0,0,0,0,0,0,0,4909,1850,0,0,496,228,1024,0,51,195,5,101,1605,0,0,3095,1,0,1170,1624,741,166,831,0,53,1217,3550,951,0,2,2,0,0,2312,4054,58,128,2681,114,443,256,35,10,13,0,0,10,2,0,686,946,5987,3599,0,0,274,546,1311,2941,506,3805,0,1785,304,1550,0,1486,0,439,0,1258,5514,0,351,0,333,0,492,2306,30,0,0,0,14,0,0,0,26,105,148,0,0,0,0,0,0
SAMPLE_30,0,0,113,21,0,0,298,302,0,2016,0,0,0,0,0,0,0,0,0,0,0,19,31,75,0,0,0,1760,0,0,51,0,29,0,77,288,1801,1050,1601,0,0,1978,0,0,0,28,29,69,38,0,21,7,1,235,318,355,0,0,0,653,0,4023,6347,0,0,1364,392,235,688,11,23,56,23,19,70,216,6,0,0,0,0,1689,528,0,176,172,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1899,1107,0,0,0
SAMPLE_31,0,0,0,0,0,0,363,439,0,2652,228,289,0,2142,0,0,0,0,58,24,37,50,37,81,0,0,0,2098,0,0,68,0,21,0,63,0,1715,992,1903,0,0,2408,0,0,0,37,48,81,36,0,16,8,0,243,354,415,0,0,0,839,0,4706,7722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,0,399,773,115,555,0,0,497,0,557,445,250,373,139,1326,0,203,0,91,0,1474,327,0,246,42,44,0,1018,0,0,1010,312,3010,0,0,0,0,0,0,0,0,0
SAMPLE_32,188,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,0,0,50,0,63,0,72,0,24,0,0,0,0,0,0,0,0,32,54,88,27,0,27,6,0,233,328,369,0,0,0,734,0,4303,7075,0,0,1588,437,254,694,18,26,41,28,29,48,235,5,0,141,932,1822,0,0,846,667,120,595,0,208,419,0,528,403,267,361,130,1154,0,619,2017,0,385,0,689,0,441,40,85,216,0,392,0,1052,296,2780,0,0,0,0,0,40,0,103,0
SAMPLE_33,2177,111,0,0,0,607,1007,0,21,0,107,3,0,70,0,0,675,828,108,68,334,162,239,199,63,84,0,0,4624,1621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2215,3814,60,144,2375,129,389,249,37,6,19,0,0,16,9,3,688,933,5449,3394,0,0,245,483,1228,2756,460,3527,0,1715,0,1305,0,1471,113,471,0,1171,5397,0,346,0,314,0,447,2178,27,0,0,2,0,11,8,12,24,109,123,0,0,471,149,1154,221
SAMPLE_34,1754,97,0,0,0,0,0,0,0,0,104,4,3,88,0,0,1543,0,114,65,282,59,0,8,16,64,0,0,4815,1848,0,0,1174,0,515,0,202,656,14,367,0,374,0,2844,0,0,896,0,483,493,538,0,46,1269,3557,969,0,0,3,0,0,2613,3922,32,13,2807,118,399,295,41,14,22,0,0,15,3,2,342,688,3660,0,1645,810,0,0,1273,2404,0,2911,0,1713,217,987,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,7,0,0,121,0,0,27,79,0,190
SAMPLE_35,2076,118,0,0,0,0,880,0,17,0,93,3,3,52,0,0,24,1720,0,0,186,80,178,143,0,0,0,0,0,0,0,0,130,195,1149,0,0,570,0,361,0,347,0,2732,1,0,1073,1445,701,194,757,0,56,0,0,0,0,0,0,0,0,0,0,0,79,2459,96,390,256,36,2,20,0,0,0,2,2,625,903,5462,3290,0,0,243,458,1209,2736,480,3627,0,1764,183,956,0,0,0,0,0,0,0,0,0,0,0,202,993,0,98,121,0,3,0,5,10,5,11,84,114,0,0,371,0,1156,260
SAMPLE_36,424,18,0,0,0,0,366,388,0,2394,201,263,0,1968,0,0,0,0,44,20,34,42,41,73,0,0,0,1928,0,0,59,0,24,0,74,329,1985,1064,1732,0,0,2221,0,0,41,43,0,8,0,0,0,0,0,240,323,376,0,0,0,781,1812,0,195,0,0,1355,407,230,646,0,0,0,28,23,76,228,7,0,135,918,1820,0,0,801,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2037,1283,0,610,48
SAMPLE_37,2094,101,148,103,0,615,975,0,0,0,0,0,0,0,0,0,0,1601,142,35,291,151,236,197,43,81,0,0,4324,1546,0,0,373,190,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,26,0,10,1088,3229,856,0,27,0,2,0,1983,3639,53,134,2363,95,378,254,30,14,23,0,0,8,7,1,634,871,5278,3023,0,0,0,289,1068,2066,101,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2442,0,0,0,1,0,2,5,10,20,115,125,0,0,490,162,1047,199
SAMPLE_38,1950,103,141,93,0,572,880,0,16,0,109,1,4,63,0,0,0,0,0,0,0,0,0,0,23,52,0,0,3557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1000,3110,880,0,2,2,0,0,2287,3462,55,126,2195,105,338,238,31,7,15,0,0,9,6,1,645,801,5064,3026,0,0,211,477,1096,2503,456,3289,0,1692,329,1766,1682,2301,0,652,0,1133,4984,0,274,0,289,0,409,2024,28,0,0,0,13,0,0,0,18,121,121,0,0,454,152,1055,224
SAMPLE_39,2207,118,137,123,0,616,1034,0,21,0,104,3,5,66,0,0,0,1726,148,48,366,153,259,188,56,80,0,0,4618,1786,0,0,1935,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2776,133,446,273,30,10,14,0,0,16,6,1,698,940,5701,3407,0,0,0,374,1205,2777,461,3655,0,1837,365,1859,1840,2552,0,690,0,1267,5673,0,295,0,339,0,482,2284,42,0,0,0,14,0,0,0,15,75,138,0,0,450,169,1137,239
SAMPLE_40,400,14,0,0,0,0,0,560,0,2248,183,240,0,1813,0,0,0,0,42,26,42,38,34,55,0,0,0,0,0,0,0,0,206,0,64,0,0,65,1671,0,0,1993,0,0,0,0,0,0,0,0,0,0,0,241,350,361,0,0,0,713,0,3989,6541,0,0,0,0,0,0,0,0,32,33,24,69,218,9,0,1,28,42,1071,0,384,606,98,499,0,0,366,0,491,312,0,202,274,1070,0,534,1921,0,320,0,582,0,419,32,66,100,0,0,0,0,0,0,0,0,0,63,1899,1191,0,578,46
SAMPLE_41,0,0,0,0,0,0,0,0,0,0,0,0,0,2340,0,0,0,0,64,26,50,49,43,70,0,0,0,2257,0,0,56,0,52,0,77,364,2321,1275,2050,0,0,2583,0,0,0,41,58,82,32,0,22,2,0,0,62,184,11,0,0,892,0,5140,8236,0,0,1776,504,279,801,10,29,54,34,28,70,286,9,0,0,0,1957,0,0,984,833,143,678,0,256,0,0,550,378,0,236,0,1049,0,670,2257,0,441,0,770,0,468,42,56,0,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_42,200,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2328,0,0,62,0,41,0,87,0,1683,1017,2003,0,0,2557,0,0,0,0,0,0,0,0,0,0,0,261,368,487,0,0,0,0,108,0,2648,205,701,1581,367,262,779,25,35,58,24,33,78,275,7,56,218,1305,2202,0,0,1022,813,146,684,0,240,475,0,610,460,286,421,175,1438,0,726,2348,0,480,0,777,0,577,48,112,245,0,521,0,1225,364,3265,369,1115,0,0,0,0,0,0,16
SAMPLE_43,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29,0,169,1336,121,46,322,144,208,153,0,60,0,0,4452,1668,0,0,841,191,588,0,144,597,14,345,0,294,0,2593,0,0,1007,1398,654,199,742,0,57,1086,3347,846,0,8,2,0,0,2194,3661,49,107,1578,0,248,0,0,0,0,0,0,10,11,3,652,905,5291,3209,0,0,0,0,1165,2328,422,3263,0,1686,0,0,2260,2268,0,618,0,1085,5147,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,21,92,0,0
SAMPLE_44,2266,136,153,121,0,628,1068,0,26,0,100,3,4,62,0,0,1469,0,151,77,340,187,234,194,0,551,133,133,0,0,0,320,94,0,1229,0,62,215,4,142,1377,0,0,3050,1,0,1086,1443,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,953,477,0,98,66,35,0,18,0,0,20,5,0,746,0,3219,0,0,0,0,0,0,0,0,0,0,1247,372,1981,1875,2569,0,729,0,1297,5752,0,330,0,322,0,467,2140,30,0,0,1,0,13,7,4,65,356,0,0,0,499,182,1191,251
