,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116,TAXA_117,TAXA_118
SAMPLE_11,0,0,0,0,711,1828,1295,230,235,0,0,15,2258,1253,0,8225,0,0,0,30,0,0,1028,0,5,27,0,0,4595,0,0,0,0,0,0,961,0,0,378,0,0,609,0,0,0,24,0,291,253,969,0,0,0,2352,951,0,0,0,0,73,0,3386,697,0,328,0,655,0,0,625,0,0,0,0,777,0,576,1992,2530,1971,0,1,423,0,220,0,0,0,8410,358,0,0,687,0,761,697,512,0,0,7496,0,0,5107,292,0,1743,0,0,0,434,390,1310,0,27,2672,0,3,2287
SAMPLE_12,1013,0,0,0,0,656,6126,219,867,0,0,726,3877,3719,0,0,0,0,0,1376,199,0,172,0,3617,0,84,0,5290,0,0,0,640,0,82,57,0,0,1299,294,70,913,5,1850,0,437,0,0,152,1090,0,0,0,17,3842,0,0,54,0,0,0,0,2112,757,1261,1255,312,0,0,0,1142,0,0,557,168,1114,0,601,0,924,0,0,0,0,0,0,3633,0,0,107,0,651,210,0,0,1278,1841,0,0,56,3047,0,1306,111,0,25,151,0,0,1756,4238,0,621,0,525,0,94,2967
SAMPLE_13,38,25,3083,0,0,213,3208,0,0,226,0,801,3155,2390,0,3061,0,0,0,195,72,0,1327,0,0,0,0,0,1613,0,0,0,41,0,418,0,0,0,1205,0,60,0,120,0,0,0,203,4424,35,229,214,0,0,0,0,2548,0,0,0,0,0,0,0,3193,343,1373,170,0,0,13,0,0,0,578,37,972,216,1363,184,231,0,0,271,0,3916,0,298,0,0,235,0,713,2182,0,0,0,0,0,2969,0,0,0,394,0,0,140,1679,941,1147,2727,491,854,190,0,4863,788,4,0
SAMPLE_14,0,1062,0,0,0,0,10041,606,1016,0,0,1254,670,9751,0,0,0,2789,0,1834,58,0,582,0,0,33,0,0,2360,213,0,70,366,0,0,415,0,864,1525,9,2357,0,207,0,0,0,2491,0,0,637,67,0,0,347,754,152,10,0,0,390,0,3935,45,1034,0,729,1565,0,147,215,1022,0,23,795,0,547,154,0,1005,0,122,0,27,0,3811,645,2234,0,2151,0,0,393,0,0,0,0,509,0,3793,1454,0,18,7940,230,0,1091,3124,1513,229,0,50,3240,0,0,984,0,0,159
SAMPLE_15,0,1977,0,0,296,0,1685,92,0,0,0,416,2051,1633,0,2311,0,3947,0,0,186,0,432,0,668,0,0,0,228,0,0,786,0,0,1329,496,0,0,182,0,1581,0,31,168,0,0,1004,1267,57,1675,890,918,277,443,185,1813,0,0,73,2833,0,974,2966,0,0,3007,148,0,402,907,0,916,0,0,749,914,2072,0,781,2114,62,0,3,0,0,0,0,0,1190,29,0,0,3063,0,0,0,0,2670,891,0,41,0,2739,769,0,457,1262,0,0,0,0,1935,0,1841,0,196,3,0
SAMPLE_16,0,0,3472,0,673,1898,2202,242,93,1134,0,1228,456,3181,0,538,0,0,3283,4010,24,0,379,19,0,0,0,0,17,108,0,454,231,0,1155,0,0,0,657,0,0,0,232,0,0,165,1700,2026,348,1193,0,0,0,257,463,0,0,229,0,0,0,2471,3700,548,0,0,668,0,0,1199,0,0,1911,624,88,488,0,1967,0,1362,67,0,4,0,626,0,1469,0,7635,323,0,0,2502,0,0,81,275,0,0,7051,0,0,1564,283,0,1827,0,1080,0,0,0,2177,0,2902,0,0,48,336
SAMPLE_17,90,0,2813,0,0,5262,5341,0,0,0,0,1085,6190,3122,22,4414,0,0,0,1371,460,0,1113,0,0,2211,0,0,2533,8,0,0,0,0,0,0,0,0,538,0,0,0,0,233,0,0,230,0,275,1702,185,0,0,172,295,0,0,177,1644,0,0,3867,1140,2037,0,2613,1057,0,0,60,0,0,0,0,790,2702,96,1100,0,1344,0,0,361,0,3415,637,0,0,5743,645,0,1261,1148,0,259,94,113,0,0,5933,623,0,2181,1118,0,1685,0,379,0,0,1352,510,478,2357,0,4579,23,8
SAMPLE_18,0,217,605,0,0,1634,4660,1245,703,0,0,589,2155,3456,0,2819,0,0,0,1332,0,0,658,0,0,289,0,0,2849,10,0,0,0,0,0,2207,0,0,1861,1194,0,0,66,364,0,0,1470,0,1232,1347,0,45,0,95,4418,0,114,0,0,0,0,5528,0,2161,691,0,1499,0,15,16,0,0,0,1922,684,692,63,450,768,2213,0,7,14,0,3406,0,0,0,0,87,0,0,211,0,0,27,2094,0,1079,0,0,0,5589,436,0,67,850,0,0,0,271,1607,0,1195,1605,0,0,0
SAMPLE_19,0,1574,1304,0,0,2356,0,1717,396,0,0,0,4563,1727,0,790,0,0,0,2698,0,0,183,0,285,20,0,0,914,427,0,0,0,0,2266,1901,0,0,558,0,3423,0,411,61,0,0,598,0,1082,2068,265,0,0,14,0,0,0,0,0,0,0,1547,1998,2968,3275,2492,2204,0,0,0,1524,0,0,44,0,1575,1358,0,2460,332,0,0,0,0,3752,0,3391,0,7890,363,0,16,2160,0,2288,0,0,0,0,5331,0,0,1300,381,0,3,0,1589,0,1571,0,1924,1721,0,4653,72,5,114
SAMPLE_20,1127,181,0,0,725,85,796,664,0,4135,0,22,0,0,0,4546,0,0,0,0,118,0,783,1006,0,65,311,0,393,54,0,3359,0,0,2590,753,0,0,0,3232,67,0,13,481,0,169,0,0,0,1570,0,0,0,14,0,89,0,406,0,152,0,0,0,371,0,6860,3016,0,0,114,0,0,119,0,0,778,42,3848,2025,0,0,0,49,0,4546,0,0,0,1852,611,0,0,1442,0,0,2690,0,0,0,1342,599,758,0,0,0,76,4048,0,0,0,2801,345,0,0,1930,0,16,3125
SAMPLE_21,0,1603,0,952,0,0,0,0,758,2169,0,0,0,1066,0,0,0,1429,0,0,0,0,0,618,2355,445,300,2089,256,0,0,752,0,0,0,0,0,0,1489,0,165,0,61,773,0,0,0,233,141,1829,0,0,38,323,0,0,0,0,0,1507,0,763,0,499,0,6451,0,10,0,1452,1655,0,484,56,0,746,1088,0,1584,0,931,0,283,0,4501,0,0,0,11347,0,0,0,2458,0,0,0,0,232,0,6712,0,1027,2938,0,0,530,0,709,0,700,467,1135,1652,0,39,886,0,1521
SAMPLE_22,0,102,1053,0,0,5870,3188,670,0,0,0,75,4527,2900,0,161,0,0,0,0,2984,0,269,158,0,85,0,110,4649,0,0,520,0,0,0,2016,0,50,182,566,138,0,64,0,0,3,330,253,153,1391,292,0,0,878,2301,0,0,0,332,0,0,0,4577,3087,0,0,3056,0,965,528,0,0,0,2124,218,1499,0,49,0,1473,1322,0,12,0,4116,7,0,3474,11339,0,0,754,2258,0,0,375,1125,0,0,6736,3988,0,92,798,0,1462,301,0,0,1767,0,0,491,2101,1922,0,162,0
SAMPLE_23,0,216,0,578,10,0,2586,0,0,0,0,990,635,709,0,0,0,1684,0,691,1678,0,0,0,0,1282,0,1212,2439,0,67,635,168,0,2120,543,1755,0,430,161,421,0,132,0,2111,0,2573,0,0,158,851,0,0,201,0,0,0,39,0,2270,0,3623,1510,1226,174,2172,0,0,0,1092,0,0,68,2541,0,206,40,338,1226,3283,30,0,301,0,0,0,125,0,1777,45,0,0,1469,0,0,0,30,0,1599,1292,0,0,2992,354,4,0,760,1093,0,0,38,0,0,0,2294,0,78,1681
SAMPLE_24,1148,0,1541,0,373,3272,0,466,0,0,0,0,0,99,0,0,17,1013,0,1546,0,0,0,0,564,0,0,0,11,0,0,3,52,0,0,40,0,0,0,0,0,21,0,686,0,0,21,43,139,171,18,0,0,502,0,0,0,0,0,3005,0,0,2538,1500,339,3090,1130,0,1,394,0,0,39,0,0,0,0,127,0,2532,0,0,208,0,3360,419,321,0,3884,21,0,0,28,0,1481,199,0,0,2294,2643,0,0,3387,914,0,0,0,0,0,0,1459,3309,0,24,2897,1841,0,496
SAMPLE_25,0,890,0,661,0,879,4754,1756,0,0,0,680,48,2732,81,341,0,1929,61,225,29,0,0,0,0,537,0,0,655,36,0,0,9,0,712,232,0,0,654,152,176,0,0,704,0,307,0,1837,0,323,0,0,0,1012,536,208,0,31,1,2,0,2036,0,75,32,0,1891,0,0,0,0,0,0,497,0,112,120,0,176,0,887,0,21,0,606,0,64,0,0,441,0,0,0,639,0,2942,291,0,281,80,831,104,1267,69,0,0,1535,0,92,0,682,157,0,0,510,1580,292,1415
SAMPLE_26,0,657,0,0,0,0,1448,695,0,696,0,21,682,234,0,1235,0,0,582,474,35,1191,607,0,0,1945,0,0,77,0,0,1257,306,0,0,0,1212,0,0,0,1392,0,209,0,0,0,0,131,197,163,0,341,0,12,0,96,0,0,0,0,0,204,413,323,388,1602,1353,0,0,3,0,0,656,27,0,339,108,0,127,0,0,0,81,0,1670,0,1690,0,6273,0,0,327,0,0,0,0,0,0,3328,5992,0,0,382,108,0,0,210,0,0,523,429,96,0,0,5699,0,2,2330
SAMPLE_27,913,0,0,2863,0,219,5617,389,0,0,0,0,3035,5708,0,462,0,0,0,652,2082,0,157,0,0,0,0,0,334,0,0,0,48,0,0,806,0,0,1280,309,0,0,143,0,0,0,308,0,783,2501,0,0,0,1026,1383,0,0,0,0,1897,0,2036,2034,525,404,4021,799,0,0,0,0,0,31,0,0,1054,1657,0,696,0,34,0,0,0,695,555,310,0,3166,0,0,0,1942,0,1279,301,563,0,0,2228,1617,0,4895,112,0,507,0,0,0,0,0,1258,0,68,3647,0,1402,2594
SAMPLE_28,0,0,0,0,5,18,3442,744,22,0,0,2,37,327,0,2001,0,0,1374,874,31,0,0,15,0,63,0,26,93,197,0,0,0,0,0,110,0,0,20,408,3058,1311,0,0,0,0,57,0,0,393,0,0,0,510,0,0,0,71,13,1279,0,0,3595,0,0,451,725,0,0,2,0,0,1865,0,0,0,0,1759,296,0,0,0,70,0,274,0,29,0,3841,284,0,0,3793,23,0,198,0,2169,2762,3784,0,230,207,22,145,83,198,567,1436,0,319,0,1101,0,46,0,688,3751
SAMPLE_29,1018,4455,0,0,0,41,5496,54,932,469,0,85,0,6820,0,2003,0,0,2664,0,3563,0,695,0,0,958,0,0,0,48,0,403,0,4397,1522,0,1779,10,975,3224,3195,0,68,0,0,0,27,0,169,766,0,0,0,843,482,31,0,333,0,63,2058,34,1298,136,0,0,91,0,0,1221,0,0,0,6,428,718,2577,386,1673,44,0,0,166,0,440,0,0,0,19781,66,0,0,1303,0,0,0,295,0,1234,14096,0,0,1480,56,0,0,1452,0,0,0,2024,349,0,2681,0,1387,625,4300
SAMPLE_30,0,638,0,0,480,2038,0,347,0,0,0,680,0,2512,0,1682,0,0,0,275,24,0,0,622,37,2081,0,0,250,0,0,83,171,4621,302,341,48,0,0,0,1423,33,0,0,496,0,127,0,0,1148,46,1340,0,1085,16,0,0,0,0,160,0,0,1125,2348,1168,1352,1517,0,118,18,0,55,0,2997,1443,0,1006,768,847,0,133,1244,37,0,3381,0,1041,0,0,123,0,0,1175,0,0,0,6,0,0,1183,0,0,0,212,0,650,26,0,0,288,545,163,229,1202,8580,604,0,2392
SAMPLE_31,428,594,183,499,200,1751,523,93,0,0,0,0,3381,206,0,2502,0,0,1158,3944,42,0,630,19,0,432,4,0,0,2,0,0,0,0,1751,0,0,0,0,0,1242,0,0,0,0,110,1862,2442,0,556,19,0,930,530,0,0,0,0,0,0,942,0,1286,0,0,0,548,17,4,1761,1052,0,0,0,0,1278,381,46,126,0,0,0,173,0,2452,0,0,0,10456,8,0,0,1261,0,0,0,0,0,4394,9085,48,30,0,89,0,92,0,0,0,2592,2448,917,0,0,0,1537,55,546
SAMPLE_32,0,96,0,0,0,20,5759,41,2382,0,0,0,2047,5851,308,0,0,5734,129,522,50,0,723,327,0,557,0,2617,0,0,1203,0,0,0,0,0,0,0,0,3,219,1433,84,0,0,0,301,5,2,929,0,449,372,167,1,0,108,0,0,2325,0,1404,0,0,404,1098,736,45,0,237,306,0,0,0,778,577,2597,1726,2123,0,0,21,0,0,2450,0,0,0,2114,0,0,0,1610,49,1401,52,103,0,880,1997,805,0,1734,98,271,0,70,0,0,1712,0,1871,0,2598,5443,0,0,49
SAMPLE_33,0,0,0,3149,0,0,245,153,588,0,0,26,2769,285,0,1931,0,1301,976,101,165,1756,888,6,0,0,0,94,2392,0,32,2096,248,0,0,0,0,0,0,1229,0,0,40,0,0,1231,1528,0,0,917,1371,0,0,681,0,0,0,0,32,2160,0,1893,141,0,176,1204,285,0,0,2793,309,0,0,23,0,877,910,0,1244,0,1730,0,6,0,2660,0,237,0,0,0,0,541,154,0,629,0,0,0,1958,1420,1515,237,0,90,0,231,0,0,0,0,0,0,0,0,2002,0,0,217
SAMPLE_34,0,268,0,0,0,1899,651,0,108,1900,0,11,4553,0,258,0,0,0,0,0,2204,0,0,1071,0,1817,0,0,3735,0,0,2229,0,0,506,363,0,0,1673,0,597,456,0,0,0,0,0,0,1340,1102,0,0,343,906,2968,0,0,26,0,1522,0,3298,2350,0,9,1258,552,0,0,1990,0,0,0,59,7,1886,0,1602,746,2947,0,0,347,0,0,18,0,0,6345,661,0,0,2455,0,0,534,4128,0,4619,5634,0,263,3813,312,0,0,0,0,0,1220,0,871,0,0,131,416,574,432
SAMPLE_35,303,368,101,0,0,3199,1131,562,0,2145,0,484,4084,2729,0,0,0,0,0,0,1233,0,941,1848,0,1736,0,687,0,0,0,4302,0,0,1008,0,0,0,212,0,761,0,0,0,0,0,49,954,46,358,0,78,939,296,2792,0,0,0,0,0,0,0,2409,103,0,687,1137,98,241,545,0,0,0,340,852,1265,62,1477,1008,0,0,0,0,0,1628,0,0,0,11528,680,0,0,921,0,0,0,0,0,421,8514,0,0,0,0,286,120,0,0,0,1498,124,1390,0,36,279,389,54,0
SAMPLE_36,888,229,0,0,381,62,3931,249,1058,0,0,0,0,4133,0,861,500,4677,1122,0,0,0,220,306,0,1543,0,2099,1998,0,0,5,0,0,0,264,0,55,2612,0,509,0,0,436,0,0,518,1248,0,809,38,0,0,0,2329,1608,307,0,2,4276,1880,1857,25,947,0,2110,267,0,5,0,0,0,0,0,0,67,69,936,679,14,2238,0,0,0,2321,0,44,0,11951,0,0,391,4,0,0,0,936,0,3008,8694,0,0,3517,13,0,26,1423,0,0,0,1114,2081,0,820,0,564,320,1882
SAMPLE_37,0,817,0,1606,0,108,4996,1537,0,0,0,12,26,3957,0,3495,0,0,0,1455,184,0,537,261,0,1198,32,33,848,0,0,0,0,0,0,35,0,0,0,0,1799,0,117,400,0,0,19,0,0,279,0,0,0,808,2425,0,0,16,55,227,0,2275,1714,0,107,316,1898,0,0,230,0,0,0,0,0,154,643,0,0,0,25,86,228,0,21,0,586,0,0,0,0,0,0,0,0,267,959,0,1311,0,216,0,1381,0,82,193,248,420,0,0,86,152,0,0,0,0,124,0
SAMPLE_38,0,191,0,306,0,0,3114,0,313,0,0,282,2727,3786,59,4122,0,1280,0,0,224,0,630,0,0,354,0,0,604,10,0,0,0,0,0,1358,0,0,462,0,463,0,0,476,0,1482,1440,0,10,657,271,0,0,24,238,0,0,0,1101,412,0,1164,0,1639,806,819,0,8,0,778,2856,0,0,1797,163,1872,1092,0,439,4138,0,0,210,0,2477,0,0,0,5991,0,0,186,0,0,1058,10,837,0,3316,5222,940,0,754,443,0,594,295,627,0,0,0,1424,186,0,9023,384,558,0
SAMPLE_39,0,3129,0,0,0,2143,2915,784,831,0,0,594,620,1660,0,1179,0,3541,0,427,157,0,788,3,0,0,0,33,0,15,0,1156,0,0,0,0,821,3,1094,0,0,0,4,0,0,1133,38,0,648,321,0,0,0,25,1223,0,0,286,0,3041,0,403,0,0,28,362,1450,0,0,0,0,0,0,460,0,611,869,40,2043,0,0,0,76,0,2892,0,0,1138,2674,9,0,443,8,0,0,28,526,719,2650,1649,0,264,2515,5,0,136,0,0,0,0,0,672,20,0,411,0,125,4168
SAMPLE_40,356,157,1939,0,0,392,4958,203,0,0,0,0,0,1731,0,26,0,0,46,0,0,0,137,156,0,922,0,0,682,0,0,774,0,0,0,210,0,0,0,52,348,0,57,0,0,0,1043,713,0,646,904,0,0,0,46,0,0,0,0,2085,0,1845,0,792,897,2442,314,0,0,0,0,0,390,0,0,17,21,0,217,248,264,316,5,0,912,0,0,3335,1548,118,0,1547,203,0,74,0,19,0,1960,1507,303,0,5611,482,0,2,278,0,0,0,0,2048,130,0,3668,0,0,0
SAMPLE_41,0,962,0,0,0,228,1029,0,0,0,0,325,4443,1163,0,0,0,0,0,0,426,0,223,0,0,1373,0,0,204,196,0,771,0,0,2753,469,0,0,135,0,1949,3321,0,0,0,0,359,0,639,647,26,0,745,0,60,0,38,0,1162,0,0,0,30,218,0,2873,57,12,0,850,0,0,177,0,0,1548,218,148,765,0,0,0,0,0,232,0,0,412,0,23,0,0,28,399,1904,0,0,0,0,0,0,0,4883,215,0,578,81,0,0,1637,0,2190,0,0,0,0,265,0
SAMPLE_42,0,4831,0,641,0,0,436,136,0,0,0,0,646,446,11,0,0,1617,0,2640,1361,0,0,24,0,816,0,41,3131,0,0,262,22,0,0,1394,301,0,0,0,3132,0,117,279,0,0,2892,0,140,2292,65,1129,0,58,0,0,0,0,0,2906,37,1989,2113,436,151,4422,272,0,182,0,1720,0,0,0,389,2303,884,47,2931,0,0,0,0,0,1153,118,156,0,9618,6,0,0,122,0,0,34,0,2187,1128,7524,0,0,3021,470,0,1193,671,266,0,0,1654,2016,0,0,0,434,58,85
SAMPLE_43,0,0,2476,0,0,0,1540,0,0,22,0,0,98,576,0,30,0,0,350,133,244,0,104,460,0,0,0,75,1913,253,1051,1107,0,0,1023,506,0,0,0,46,0,0,18,8,0,0,341,3472,660,1195,332,0,0,1305,0,0,0,0,0,104,0,3387,6789,1849,0,3121,0,0,474,1919,0,0,0,0,0,198,2411,1782,726,3302,0,0,0,0,3583,0,0,0,0,443,0,0,1868,0,983,0,497,0,0,793,676,0,2333,564,0,310,98,373,914,0,0,1533,0,2540,1789,0,25,8
SAMPLE_44,0,798,0,494,0,2477,2898,0,0,934,73,873,206,2248,0,0,0,2153,0,63,32,0,0,84,0,175,9,707,631,0,0,611,0,0,2140,982,0,0,383,2012,0,0,18,237,0,0,0,0,13,322,0,184,0,424,3524,0,0,5,278,2903,0,3739,1835,788,427,445,638,0,0,0,2287,0,0,1234,0,180,155,665,309,3804,0,0,0,0,1825,171,0,0,0,314,0,80,1875,335,392,0,1460,689,0,424,488,12,4486,0,0,0,908,0,0,0,1004,0,121,596,3967,441,114,9
SAMPLE_45,0,1014,0,2742,61,0,5481,0,303,786,385,387,20,4852,0,698,0,0,31,2196,1797,0,230,1601,0,146,0,0,0,0,0,0,0,0,0,0,0,0,548,2280,2071,23,0,0,0,0,0,0,0,989,0,1335,0,0,871,1386,0,0,1924,153,0,1898,1084,1880,0,0,0,0,0,2321,0,0,0,0,716,572,250,21,713,0,0,0,0,0,1633,0,0,0,11133,5,0,0,450,3,702,0,731,0,3163,8003,0,796,0,419,48,1823,2299,21,0,0,160,1259,0,0,0,55,0,2614
SAMPLE_46,0,497,324,761,0,237,5336,84,0,1387,0,733,1218,1970,0,6962,0,0,0,0,0,2751,1080,0,0,37,0,0,713,0,0,0,20,0,0,0,0,0,1381,0,1077,0,62,150,0,540,2404,953,0,0,1,0,2474,1340,588,0,0,0,0,1815,0,3433,450,0,174,0,325,21,5,1409,0,0,80,0,88,1145,0,1591,0,175,466,0,462,0,103,0,147,0,7224,261,0,0,473,0,978,0,0,0,1512,6325,0,148,2442,485,146,0,530,0,92,0,0,560,0,1372,2381,0,378,136
